Description	
Number of Runs	150
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	550
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	550	2	10	02/17/26 08:48:01 AM	
2	550	1	10	02/17/26 08:48:11 AM	
3	550	1	10	02/17/26 08:48:21 AM	
4	550	3	10	02/17/26 08:48:31 AM	
5	550	1	10	02/17/26 08:48:42 AM	
6	550	1	10	02/17/26 08:48:52 AM	
7	550	4	10	02/17/26 08:49:02 AM	
8	550	4	10	02/17/26 08:49:12 AM	
9	550	3	10	02/17/26 08:49:22 AM	
10	550	2	10	02/17/26 08:49:33 AM	
11	550	3	10	02/17/26 08:49:43 AM	
12	550	1	10	02/17/26 08:49:53 AM	
13	550	2	10	02/17/26 08:50:03 AM	
14	550	2	10	02/17/26 08:50:13 AM	
15	550	2	10	02/17/26 08:50:24 AM	
16	550	1	10	02/17/26 08:50:34 AM	
17	550	2	10	02/17/26 08:50:44 AM	
18	550	5	10	02/17/26 08:50:54 AM	
19	550	4	10	02/17/26 08:51:05 AM	
20	550	4	10	02/17/26 08:51:15 AM	
21	550	3	10	02/17/26 08:51:25 AM	
22	550	1	10	02/17/26 08:51:35 AM	
23	550	4	10	02/17/26 08:51:46 AM	
24	550	2	10	02/17/26 08:51:56 AM	
25	550	3	10	02/17/26 08:52:06 AM	
26	550	4	10	02/17/26 08:52:16 AM	
27	550	3	10	02/17/26 08:52:26 AM	
28	550	4	10	02/17/26 08:52:37 AM	
29	550	2	10	02/17/26 08:52:47 AM	
30	550	2	10	02/17/26 08:52:57 AM	
31	550	1	10	02/17/26 08:53:07 AM	
32	550	3	10	02/17/26 08:53:18 AM	
33	550	4	10	02/17/26 08:53:28 AM	
34	550	2	10	02/17/26 08:53:38 AM	
35	550	2	10	02/17/26 08:53:48 AM	
36	550	1	10	02/17/26 08:53:58 AM	
37	550	1	10	02/17/26 08:54:09 AM	
38	550	1	10	02/17/26 08:54:19 AM	
39	550	5	10	02/17/26 08:54:29 AM	
40	550	3	10	02/17/26 08:54:39 AM	
41	550	2	10	02/17/26 08:54:49 AM	
42	550	2	10	02/17/26 08:55:00 AM	
43	550	0	10	02/17/26 08:55:10 AM	
44	550	3	10	02/17/26 08:55:20 AM	
45	550	3	10	02/17/26 08:55:30 AM	
46	550	2	10	02/17/26 08:55:40 AM	
47	550	4	10	02/17/26 08:55:51 AM	
48	550	0	10	02/17/26 08:56:01 AM	
49	550	2	10	02/17/26 08:56:11 AM	
50	550	0	10	02/17/26 08:56:21 AM	
51	550	3	10	02/17/26 08:56:32 AM	
52	550	2	10	02/17/26 08:56:42 AM	
53	550	2	10	02/17/26 08:56:52 AM	
54	550	1	10	02/17/26 08:57:02 AM	
55	550	0	10	02/17/26 08:57:12 AM	
56	550	2	10	02/17/26 08:57:23 AM	
57	550	2	10	02/17/26 08:57:33 AM	
58	550	6	10	02/17/26 08:57:43 AM	
59	550	3	10	02/17/26 08:57:53 AM	
60	550	1	10	02/17/26 08:58:04 AM	
61	550	3	10	02/17/26 08:58:14 AM	
62	550	2	10	02/17/26 08:58:24 AM	
63	550	5	10	02/17/26 08:58:34 AM	
64	550	1	10	02/17/26 08:58:44 AM	
65	550	3	10	02/17/26 08:58:55 AM	
66	550	3	10	02/17/26 08:59:05 AM	
67	550	1	10	02/17/26 08:59:15 AM	
68	550	4	10	02/17/26 08:59:25 AM	
69	550	3	10	02/17/26 08:59:35 AM	
70	550	2	10	02/17/26 08:59:46 AM	
71	550	3	10	02/17/26 08:59:56 AM	
72	550	1	10	02/17/26 09:00:06 AM	
73	550	1	10	02/17/26 09:00:16 AM	
74	550	5	10	02/17/26 09:00:27 AM	
75	550	0	10	02/17/26 09:00:37 AM	
76	550	3	10	02/17/26 09:00:47 AM	
77	550	2	10	02/17/26 09:00:57 AM	
78	550	1	10	02/17/26 09:01:07 AM	
79	550	1	10	02/17/26 09:01:18 AM	
80	550	4	10	02/17/26 09:01:28 AM	
81	550	1	10	02/17/26 09:01:38 AM	
82	550	5	10	02/17/26 09:01:48 AM	
83	550	0	10	02/17/26 09:01:59 AM	
84	550	3	10	02/17/26 09:02:09 AM	
85	550	0	10	02/17/26 09:02:19 AM	
86	550	2	10	02/17/26 09:02:29 AM	
87	550	2	10	02/17/26 09:02:39 AM	
88	550	2	10	02/17/26 09:02:50 AM	
89	550	1	10	02/17/26 09:03:00 AM	
90	550	6	10	02/17/26 09:03:10 AM	
91	550	2	10	02/17/26 09:03:20 AM	
92	550	5	10	02/17/26 09:03:31 AM	
93	550	2	10	02/17/26 09:03:41 AM	
94	550	1	10	02/17/26 09:03:51 AM	
95	550	2	10	02/17/26 09:04:02 AM	
96	550	2	10	02/17/26 09:04:12 AM	
97	550	0	10	02/17/26 09:04:22 AM	
98	550	1	10	02/17/26 09:04:32 AM	
99	550	4	10	02/17/26 09:04:42 AM	
100	550	2	10	02/17/26 09:04:53 AM	
101	550	3	10	02/17/26 09:05:03 AM	
102	550	2	10	02/17/26 09:05:13 AM	
103	550	2	10	02/17/26 09:05:23 AM	
104	550	3	10	02/17/26 09:05:34 AM	
105	550	3	10	02/17/26 09:05:44 AM	
106	550	3	10	02/17/26 09:05:54 AM	
107	550	3	10	02/17/26 09:06:04 AM	
108	550	4	10	02/17/26 09:06:14 AM	
109	550	2	10	02/17/26 09:06:25 AM	
110	550	2	10	02/17/26 09:06:35 AM	
111	550	2	10	02/17/26 09:06:45 AM	
112	550	4	10	02/17/26 09:06:55 AM	
113	550	1	10	02/17/26 09:07:05 AM	
114	550	0	10	02/17/26 09:07:16 AM	
115	550	3	10	02/17/26 09:07:26 AM	
116	550	0	10	02/17/26 09:07:36 AM	
117	550	5	10	02/17/26 09:07:46 AM	
118	550	2	10	02/17/26 09:07:56 AM	
119	550	2	10	02/17/26 09:08:07 AM	
120	550	0	10	02/17/26 09:08:17 AM	
121	550	3	10	02/17/26 09:08:27 AM	
122	550	5	10	02/17/26 09:08:37 AM	
123	550	1	10	02/17/26 09:08:48 AM	
124	550	2	10	02/17/26 09:08:58 AM	
125	550	1	10	02/17/26 09:09:08 AM	
126	550	5	10	02/17/26 09:09:18 AM	
127	550	2	10	02/17/26 09:09:29 AM	
128	550	2	10	02/17/26 09:09:39 AM	
129	550	0	10	02/17/26 09:09:49 AM	
130	550	0	10	02/17/26 09:09:59 AM	
131	550	4	10	02/17/26 09:10:09 AM	
132	550	1	10	02/17/26 09:10:19 AM	
133	550	1	10	02/17/26 09:10:30 AM	
134	550	1	10	02/17/26 09:10:40 AM	
135	550	4	10	02/17/26 09:10:50 AM	
136	550	3	10	02/17/26 09:11:00 AM	
137	550	4	10	02/17/26 09:11:10 AM	
