Description	
Number of Runs	20
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	550
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	550	3133	30	03/03/26 07:47:33 AM	
2	550	3169	30	03/03/26 07:48:03 AM	
3	550	3122	30	03/03/26 07:48:34 AM	
4	550	3148	30	03/03/26 07:49:04 AM	
5	550	3098	30	03/03/26 07:49:35 AM	
6	550	3251	30	03/03/26 07:50:05 AM	
7	550	3174	30	03/03/26 07:50:35 AM	
8	550	3213	30	03/03/26 07:51:06 AM	
9	550	3188	30	03/03/26 07:51:36 AM	
10	550	3179	30	03/03/26 07:52:06 AM	
11	550	3260	30	03/03/26 07:52:37 AM	
12	550	3178	30	03/03/26 07:53:07 AM	
13	550	3179	30	03/03/26 07:53:37 AM	
14	550	3077	30	03/03/26 07:54:08 AM	
15	550	3147	30	03/03/26 07:54:38 AM	
16	550	3272	30	03/03/26 07:55:08 AM	
17	550	3231	30	03/03/26 07:55:39 AM	
18	550	3226	30	03/03/26 07:56:09 AM	
19	550	3147	30	03/03/26 07:56:40 AM	
20	550	3188	30	03/03/26 07:57:10 AM	
