Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	2
12	0
13	0
14	0
15	0
16	1
17	0
18	0
19	1
20	0
21	0
22	1
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	1
35	0
36	0
37	0
38	1
39	0
40	0
41	0
42	1
43	3
44	0
45	4
46	0
47	42
48	116
49	430
50	551
51	846
52	590
53	708
54	774
55	829
56	439
57	825
58	668
59	868
60	659
61	767
62	697
63	1218
64	315
65	713
66	717
67	883
68	725
69	750
70	791
71	839
72	563
73	890
74	666
75	837
76	740
77	776
78	778
79	984
80	482
81	756
82	744
83	927
84	714
85	734
86	781
87	871
88	656
89	809
90	732
91	855
92	718
93	919
94	745
95	1279
96	401
97	819
98	751
99	858
100	733
101	778
102	822
103	911
104	560
105	826
106	706
107	846
108	785
109	882
110	765
111	1026
112	469
113	803
114	733
115	965
116	741
117	772
118	864
119	947
120	582
121	939
122	732
123	989
124	781
125	948
126	893
127	1695
128	333
129	891
130	884
131	1048
132	923
133	886
134	1006
135	936
136	752
137	1044
138	781
139	918
140	843
141	919
142	789
143	1030
144	560
145	848
146	791
147	916
148	716
149	804
150	909
151	856
152	648
153	913
154	735
155	991
156	784
157	907
158	787
159	1376
160	456
161	833
162	860
163	945
164	903
165	792
166	914
167	998
168	665
169	1003
170	786
171	960
172	909
173	935
174	933
175	1092
176	657
177	965
178	882
179	1056
180	865
181	895
182	982
183	1117
184	696
185	1090
186	842
187	1067
188	859
189	1019
190	964
191	1547
192	487
193	958
194	1046
195	1114
196	1134
197	1057
198	1258
199	1258
200	980
201	1422
202	1139
203	1470
204	1504
205	1587
206	1597
207	2098
208	1219
209	1949
210	1976
211	2273
212	1979
213	2119
214	2490
215	2380
216	1960
217	2648
218	2201
219	2727
220	2111
221	2422
222	2348
223	3342
224	1235
225	2046
226	1953
227	1972
228	1883
229	1690
230	1864
231	1782
232	1158
233	1643
234	1310
235	1453
236	1389
237	1473
238	1414
239	1747
240	947
241	1473
242	1414
243	1618
244	1412
245	1429
246	1780
247	1638
248	1188
249	1703
250	1399
251	1765
252	1450
253	1526
254	1421
255	2641
256	461
257	1152
258	1290
259	1402
260	1254
261	1203
262	1301
263	1288
264	921
265	1271
266	922
267	1163
268	1076
269	1095
270	1016
271	1230
272	645
273	1056
274	988
275	1193
276	922
277	955
278	1065
279	1021
280	780
281	1131
282	874
283	1134
284	841
285	1005
286	907
287	1527
288	551
289	1004
290	964
291	1034
292	1006
293	944
294	1086
295	1110
296	768
297	1159
298	882
299	1108
300	969
301	984
302	1018
303	1131
304	686
305	981
306	990
307	1187
308	889
309	979
310	1050
311	1056
312	699
313	1128
314	942
315	1165
316	901
317	994
318	1029
319	1617
320	451
321	985
322	971
323	1122
324	982
325	913
326	1080
327	1010
328	792
329	1146
330	884
331	1041
332	995
333	1016
334	975
335	1152
336	632
337	1028
338	962
339	1155
340	870
341	909
342	987
343	1005
344	861
345	1071
346	835
347	1160
348	885
349	979
350	955
351	1372
352	669
353	1022
354	942
355	1073
356	1007
357	961
358	1062
359	1109
360	797
361	1123
362	920
363	1005
364	1051
365	1043
366	970
367	1183
368	684
369	989
370	981
371	1112
372	923
373	882
374	1037
375	1029
376	750
377	1047
378	877
379	1145
380	924
381	929
382	1015
383	1562
384	439
385	913
386	982
387	1043
388	962
389	897
390	1035
391	975
392	811
393	1083
394	838
395	1057
396	960
397	1036
398	937
399	1097
400	699
401	998
402	925
403	1090
404	885
405	900
406	1045
407	951
408	802
409	1073
410	855
411	1042
412	867
413	955
414	927
415	1417
416	576
417	1022
418	1001
419	960
420	1019
421	928
422	1041
423	1007
424	775
425	1053
426	832
427	947
428	917
429	1019
430	936
431	1025
432	814
433	990
434	1006
435	1044
436	850
437	865
438	1070
439	982
440	758
441	1029
442	812
443	985
444	825
445	987
446	912
447	1411
448	512
449	864
450	874
451	1036
452	944
453	831
454	1020
455	881
456	813
457	1036
458	844
459	983
460	1037
461	973
462	957
463	1070
464	706
465	911
466	920
467	1045
468	859
469	824
470	1001
471	811
472	845
473	1059
474	777
475	1025
476	842
477	977
478	928
479	1267
480	644
481	964
482	943
483	879
484	1007
485	819
486	1052
487	924
488	762
489	1012
490	845
491	938
492	960
493	956
494	947
495	1053
496	689
497	911
498	911
499	1030
500	923
501	878
502	1017
503	917
504	757
505	995
506	838
507	998
508	890
509	936
510	947
511	1709
512	297
513	760
514	858
515	985
516	884
517	865
518	1002
519	1033
520	734
521	1092
522	779
523	970
524	906
525	966
526	833
527	1136
528	638
529	938
530	838
531	1053
532	821
533	854
534	988
535	1024
536	699
537	1086
538	834
539	1105
540	794
541	927
542	888
543	1380
544	533
545	949
546	814
547	1012
548	950
549	837
550	999
551	1054
552	658
553	1096
554	850
555	988
556	969
557	985
558	863
559	1014
560	651
561	946
562	867
563	1106
564	797
565	881
566	1021
567	1089
568	676
569	1084
570	841
571	1157
572	859
573	1003
574	954
575	1448
576	522
577	1029
578	905
579	1018
580	1026
581	979
582	1107
583	1112
584	854
585	1212
586	926
587	1125
588	1029
589	1071
590	995
591	1274
592	667
593	1080
594	1103
595	1322
596	1053
597	957
598	1142
599	1090
600	886
601	1182
602	933
603	1299
604	1000
605	1104
606	1052
607	1495
608	687
609	1020
610	1076
611	1152
612	1093
613	986
614	1195
615	1155
616	812
617	1211
618	920
619	1096
620	1063
621	1090
622	1013
623	1222
624	719
625	1075
626	994
627	1140
628	968
629	922
630	1137
631	1071
632	808
633	1080
634	844
635	1134
636	979
637	985
638	995
639	1757
640	451
641	894
642	998
643	1013
644	1037
645	865
646	1053
647	943
648	812
649	1124
650	822
651	1041
652	1003
653	1017
654	914
655	1065
656	708
657	1012
658	957
659	1053
660	880
661	888
662	991
663	893
664	782
665	1081
666	833
667	1066
668	787
669	972
670	909
671	1286
672	589
673	947
674	905
675	962
676	956
677	793
678	1034
679	938
680	708
681	1055
682	823
683	894
684	972
685	950
686	872
687	929
688	771
689	853
690	849
691	1086
692	869
693	755
694	1025
695	941
696	686
697	993
698	761
699	1018
700	902
701	886
702	912
703	1195
704	543
705	864
706	841
707	882
708	926
709	759
710	929
711	817
712	786
713	963
714	735
715	860
716	965
717	919
718	803
719	972
720	625
721	822
722	870
723	955
724	873
725	750
726	953
727	779
728	761
729	959
730	764
731	965
732	818
733	814
734	793
735	1151
736	558
737	806
738	819
739	875
740	935
741	763
742	980
743	856
744	680
745	874
746	715
747	833
748	873
749	833
750	816
751	912
752	597
753	848
754	829
755	910
756	786
757	736
758	924
759	812
760	669
761	952
762	781
763	877
764	820
765	802
766	842
767	1360
768	399
769	789
770	836
771	852
772	856
773	789
774	880
775	789
776	716
777	957
778	711
779	818
780	826
781	869
782	834
783	879
784	632
785	817
786	789
787	968
788	852
789	725
790	945
791	843
792	734
793	960
794	692
795	979
796	758
797	854
798	838
799	1031
800	562
801	851
802	780
803	838
804	787
805	751
806	937
807	867
808	636
809	930
810	743
811	825
812	889
813	853
814	850
815	802
816	693
817	820
818	804
819	947
820	828
821	724
822	931
823	919
824	616
825	948
826	744
827	953
828	748
829	771
830	849
831	1149
832	510
833	778
834	765
835	804
836	891
837	724
838	912
839	767
840	770
841	953
842	681
843	865
844	886
845	869
846	822
847	888
848	584
849	877
850	819
851	958
852	788
853	722
854	844
855	730
856	720
857	931
858	724
859	912
860	742
861	829
862	738
863	952
864	653
865	810
866	761
867	783
868	870
869	676
870	907
871	828
872	639
873	911
874	677
875	783
876	865
877	764
878	791
879	847
880	575
881	773
882	836
883	865
884	812
885	682
886	870
887	782
888	619
889	768
890	679
891	855
892	779
893	792
894	793
895	1201
896	393
897	678
898	777
899	772
900	857
901	679
902	893
903	640
904	687
905	876
906	651
907	756
908	811
909	786
910	782
911	730
912	568
913	735
914	778
915	827
916	764
917	675
918	894
919	641
920	703
921	820
922	678
923	849
924	705
925	795
926	778
927	934
928	539
929	739
930	700
931	767
932	835
933	617
934	859
935	781
936	632
937	848
938	635
939	705
940	835
941	740
942	735
943	702
944	684
945	811
946	788
947	818
948	719
949	602
950	854
951	674
952	603
953	839
954	659
955	805
956	688
957	716
958	749
959	969
960	503
961	686
962	769
963	699
964	795
965	606
966	840
967	673
968	696
969	832
970	652
971	746
972	785
973	725
974	728
975	721
976	581
977	745
978	752
979	768
980	709
981	606
982	827
983	629
984	681
985	854
986	616
987	836
988	709
989	704
990	737
991	903
992	520
993	697
994	708
995	669
996	839
997	600
998	795
999	639
1000	591
1001	765
1002	618
1003	722
1004	779
1005	661
1006	716
1007	661
1008	544
1009	672
1010	742
1011	725
1012	714
1013	598
1014	861
1015	624
1016	613
1017	769
1018	623
1019	774
1020	764
1021	675
1022	733
1023	1122
1024	195
1025	568
1026	676
1027	798
1028	703
1029	687
1030	747
1031	764
1032	521
1033	805
1034	568
1035	785
1036	654
1037	717
1038	680
1039	773
1040	417
1041	710
1042	669
1043	819
1044	616
1045	633
1046	756
1047	744
1048	484
1049	771
1050	552
1051	865
1052	569
1053	768
1054	677
1055	983
1056	407
1057	678
1058	678
1059	755
1060	646
1061	604
1062	787
1063	803
1064	437
1065	799
1066	568
1067	743
1068	644
1069	688
1070	731
1071	779
1072	464
1073	719
1074	651
1075	779
1076	592
1077	577
1078	778
1079	767
1080	408
1081	753
1082	570
1083	815
1084	590
1085	718
1086	666
1087	1045
1088	309
1089	648
1090	683
1091	713
1092	677
1093	576
1094	754
1095	689
1096	531
1097	758
1098	517
1099	691
1100	648
1101	698
1102	683
1103	779
1104	361
1105	676
1106	656
1107	883
1108	570
1109	612
1110	722
1111	660
1112	515
1113	744
1114	518
1115	794
1116	554
1117	687
1118	632
1119	926
1120	391
1121	707
1122	654
1123	677
1124	653
1125	565
1126	742
1127	700
1128	485
1129	767
1130	532
1131	698
1132	635
1133	631
1134	600
1135	787
1136	391
1137	637
1138	630
1139	750
1140	626
1141	573
1142	728
1143	729
1144	460
1145	746
1146	573
1147	780
1148	581
1149	647
1150	635
1151	1100
1152	268
1153	589
1154	594
1155	657
1156	666
1157	584
1158	707
1159	589
1160	511
1161	714
1162	521
1163	678
1164	670
1165	663
1166	614
1167	678
1168	470
1169	722
1170	573
1171	743
1172	562
1173	569
1174	696
1175	599
1176	509
1177	758
1178	527
1179	727
1180	547
1181	648
1182	557
1183	925
1184	318
1185	601
1186	640
1187	663
1188	563
1189	571
1190	682
1191	659
1192	425
1193	704
1194	556
1195	635
1196	657
1197	671
1198	611
1199	659
1200	465
1201	623
1202	609
1203	706
1204	650
1205	565
1206	721
1207	640
1208	421
1209	719
1210	497
1211	699
1212	591
1213	638
1214	595
1215	897
1216	375
1217	610
1218	622
1219	617
1220	645
1221	587
1222	626
1223	552
1224	544
1225	712
1226	504
1227	606
1228	621
1229	606
1230	583
1231	690
1232	390
1233	637
1234	574
1235	736
1236	601
1237	567
1238	718
1239	585
1240	521
1241	679
1242	511
1243	705
1244	554
1245	604
1246	589
1247	874
1248	358
1249	615
1250	621
1251	645
1252	618
1253	510
1254	731
1255	597
1256	432
1257	715
1258	534
1259	617
1260	652
1261	602
1262	573
1263	656
1264	385
1265	585
1266	575
1267	726
1268	579
1269	508
1270	675
1271	603
1272	425
1273	723
1274	523
1275	674
1276	557
1277	586
1278	607
1279	1010
1280	228
1281	517
1282	602
1283	607
1284	559
1285	541
1286	691
1287	568
1288	498
1289	657
1290	520
1291	596
1292	630
1293	598
1294	587
1295	591
1296	432
1297	618
1298	573
1299	673
1300	544
1301	513
1302	644
1303	593
1304	478
1305	648
1306	480
1307	707
1308	526
1309	567
1310	559
1311	800
1312	399
1313	610
1314	592
1315	620
1316	625
1317	520
1318	653
1319	657
1320	410
1321	665
1322	466
1323	604
1324	625
1325	623
1326	631
1327	594
1328	473
1329	606
1330	599
1331	702
1332	609
1333	471
1334	697
1335	656
1336	428
1337	685
1338	514
1339	731
1340	493
1341	622
1342	633
1343	918
1344	337
1345	596
1346	592
1347	635
1348	648
1349	551
1350	689
1351	555
1352	513
1353	708
1354	526
1355	663
1356	673
1357	656
1358	614
1359	670
1360	470
1361	626
1362	619
1363	758
1364	613
1365	532
1366	754
1367	589
1368	616
1369	719
1370	554
1371	759
1372	557
1373	660
1374	594
1375	771
1376	498
1377	594
1378	593
1379	617
1380	709
1381	545
1382	757
1383	600
1384	497
1385	709
1386	514
1387	652
1388	679
1389	673
1390	576
1391	693
1392	464
1393	604
1394	589
1395	699
1396	644
1397	498
1398	738
1399	646
1400	485
1401	717
1402	527
1403	672
1404	573
1405	606
1406	589
1407	860
1408	426
1409	608
1410	562
1411	632
1412	666
1413	507
1414	683
1415	543
1416	524
1417	714
1418	470
1419	622
1420	633
1421	631
1422	552
1423	608
1424	502
1425	561
1426	540
1427	682
1428	533
1429	487
1430	707
1431	505
1432	496
1433	667
1434	488
1435	657
1436	551
1437	576
1438	586
1439	766
1440	356
1441	568
1442	603
1443	579
1444	609
1445	491
1446	681
1447	524
1448	450
1449	648
1450	458
1451	549
1452	593
1453	593
1454	537
1455	470
1456	513
1457	544
1458	574
1459	626
1460	533
1461	430
1462	651
1463	541
1464	403
1465	621
1466	479
1467	625
1468	511
1469	549
1470	546
1471	789
1472	383
1473	492
1474	555
1475	544
1476	645
1477	441
1478	635
1479	412
1480	513
1481	649
1482	440
1483	510
1484	629
1485	546
1486	512
1487	547
1488	393
1489	504
1490	515
1491	586
1492	513
1493	468
1494	646
1495	455
1496	457
1497	613
1498	464
1499	572
1500	487
1501	539
1502	566
1503	641
1504	410
1505	470
1506	536
1507	500
1508	663
1509	464
1510	610
1511	490
1512	461
1513	581
1514	482
1515	486
1516	608
1517	533
1518	541
1519	504
1520	428
1521	537
1522	486
1523	621
1524	507
1525	453
1526	623
1527	517
1528	427
1529	593
1530	481
1531	609
1532	518
1533	539
1534	576
1535	782
1536	297
1537	459
1538	489
1539	575
1540	639
1541	474
1542	632
1543	522
1544	422
1545	610
1546	454
1547	550
1548	609
1549	574
1550	515
1551	529
1552	389
1553	546
1554	507
1555	645
1556	494
1557	462
1558	555
1559	518
1560	447
1561	632
1562	435
1563	650
1564	488
1565	517
1566	520
1567	671
1568	390
1569	530
1570	502
1571	555
1572	561
1573	468
1574	623
1575	552
1576	392
1577	615
1578	404
1579	576
1580	596
1581	551
1582	511
1583	511
1584	416
1585	493
1586	546
1587	587
1588	485
1589	445
1590	577
1591	562
1592	405
1593	642
1594	410
1595	624
1596	493
1597	525
1598	479
1599	608
1600	374
1601	537
1602	575
1603	487
1604	569
1605	451
1606	553
1607	471
1608	461
1609	602
1610	409
1611	503
1612	547
1613	534
1614	518
1615	522
1616	335
1617	514
1618	544
1619	637
1620	532
1621	435
1622	607
1623	439
1624	487
1625	586
1626	440
1627	624
1628	492
1629	519
1630	517
1631	589
1632	425
1633	529
1634	522
1635	524
1636	599
1637	403
1638	576
1639	502
1640	401
1641	597
1642	436
1643	515
1644	569
1645	495
1646	493
1647	543
1648	389
1649	485
1650	540
1651	580
1652	537
1653	412
1654	621
1655	495
1656	393
1657	610
1658	423
1659	579
1660	499
1661	516
1662	491
1663	774
1664	302
1665	489
1666	505
1667	535
1668	542
1669	433
1670	581
1671	416
1672	471
1673	609
1674	410
1675	550
1676	555
1677	522
1678	566
1679	466
1680	496
1681	504
1682	534
1683	587
1684	512
1685	417
1686	606
1687	380
1688	455
1689	584
1690	402
1691	650
1692	463
1693	488
1694	514
1695	631
1696	361
1697	541
1698	491
1699	541
1700	559
1701	413
1702	616
1703	514
1704	385
1705	571
1706	431
1707	531
1708	607
1709	504
1710	471
1711	417
1712	504
1713	490
1714	526
1715	563
1716	498
1717	429
1718	557
1719	469
1720	392
1721	532
1722	402
1723	579
1724	489
1725	501
1726	504
1727	596
1728	412
1729	474
1730	541
1731	532
1732	544
1733	367
1734	612
1735	400
1736	509
1737	572
1738	435
1739	502
1740	595
1741	524
1742	521
1743	521
1744	427
1745	534
1746	505
1747	529
1748	493
1749	391
1750	622
1751	416
1752	466
1753	564
1754	416
1755	589
1756	465
1757	478
1758	538
1759	584
1760	386
1761	493
1762	484
1763	454
1764	588
1765	416
1766	591
1767	487
1768	443
1769	605
1770	397
1771	489
1772	596
1773	500
1774	492
1775	500
1776	403
1777	486
1778	508
1779	566
1780	505
1781	396
1782	634
1783	466
1784	402
1785	558
1786	456
1787	561
1788	487
1789	471
1790	495
1791	628
1792	317
1793	443
1794	543
1795	471
1796	558
1797	427
1798	617
1799	434
1800	452
1801	599
1802	427
1803	504
1804	551
1805	486
1806	493
1807	426
1808	457
1809	536
1810	459
1811	604
1812	523
1813	438
1814	617
1815	398
1816	472
1817	588
1818	421
1819	585
1820	552
1821	530
1822	533
1823	568
1824	468
1825	495
1826	484
1827	483
1828	622
1829	419
1830	620
1831	498
1832	389
1833	606
1834	423
1835	525
1836	624
1837	497
1838	431
1839	392
1840	504
1841	494
1842	482
1843	528
1844	490
1845	438
1846	611
1847	457
1848	393
1849	587
1850	474
1851	580
1852	494
1853	519
1854	548
1855	531
1856	410
1857	464
1858	520
1859	466
1860	570
1861	394
1862	606
1863	413
1864	447
1865	588
1866	425
1867	473
1868	590
1869	532
1870	506
1871	501
1872	395
1873	512
1874	510
1875	527
1876	539
1877	413
1878	569
1879	405
1880	533
1881	597
1882	415
1883	567
1884	513
1885	477
1886	482
1887	468
1888	493
1889	491
1890	517
1891	509
1892	660
1893	385
1894	616
1895	494
1896	375
1897	589
1898	404
1899	459
1900	578
1901	532
1902	488
1903	473
1904	416
1905	506
1906	542
1907	580
1908	541
1909	405
1910	602
1911	415
1912	463
1913	572
1914	400
1915	581
1916	489
1917	474
1918	490
1919	584
1920	439
1921	479
1922	468
1923	497
1924	590
1925	424
1926	577
1927	381
1928	536
1929	566
1930	420
1931	488
1932	588
1933	502
1934	513
1935	362
1936	519
1937	495
1938	496
1939	561
1940	539
1941	409
1942	607
1943	371
1944	500
1945	590
1946	412
1947	558
1948	542
1949	468
1950	467
1951	534
1952	431
1953	533
1954	496
1955	465
1956	623
1957	398
1958	629
1959	444
1960	426
1961	629
1962	402
1963	429
1964	597
1965	466
1966	487
1967	319
1968	534
1969	499
1970	505
1971	588
1972	564
1973	413
1974	605
1975	442
1976	399
1977	591
