Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	700
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	8430.06
Elapsed Live Time:	8411.14
Start Time:	octubre 06, 2020, 11:01:46
End Time:	octubre 06, 2020, 01:22:16
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		6
5		540
6		229
7		1820
8		2472
9		2526
10		2563
11		2560
12		2560
13		2728
14		2572
15		2662
16		2609
17		2603
18		2471
19		2494
20		2270
21		2323
22		2363
23		2295
24		2367
25		2353
26		2404
27		2339
28		2488
29		2478
30		2592
31		2687
32		2718
33		2957
34		2982
35		3145
36		3198
37		3390
38		3322
39		3491
40		3680
41		3690
42		3787
43		4017
44		4023
45		4072
46		4065
47		4093
48		3978
49		3992
50		3932
51		3755
52		3708
53		3575
54		3538
55		3475
56		3326
57		3330
58		3254
59		3090
60		3087
61		3061
62		2972
63		2968
64		2969
65		3052
66		2896
67		2983
68		2940
69		2912
70		2838
71		2874
72		2798
73		2863
74		2897
75		2997
76		2921
77		2946
78		2948
79		2940
80		3000
81		2993
82		2924
83		2935
84		2968
85		3039
86		3062
87		2988
88		2928
89		3030
90		2946
91		3052
92		2935
93		2930
94		2965
95		2982
96		3057
97		2891
98		3039
99		2906
100		2999
101		2963
102		3022
103		2966
104		3044
105		3038
106		3085
107		3103
108		3008
109		3115
110		3197
111		3170
112		3113
113		3181
114		3100
115		3204
116		3232
117		3159
118		3332
119		3332
120		3350
121		3506
122		3535
123		3493
124		3486
125		3563
126		3575
127		3623
128		3716
129		3781
130		3842
131		3903
132		3922
133		3884
134		3971
135		3863
136		3901
137		3909
138		3887
139		3925
140		3987
141		3886
142		3921
143		3930
144		3847
145		3904
146		3834
147		3829
148		3721
149		3631
150		3659
151		3652
152		3546
153		3589
154		3472
155		3394
156		3424
157		3354
158		3332
159		3312
160		3175
161		3257
162		3256
163		3168
164		3190
165		3095
166		3059
167		2983
168		2983
169		3046
170		2920
171		2948
172		2925
173		2890
174		2943
175		2807
176		2789
177		2811
178		2882
179		2824
180		2766
181		2775
182		2698
183		2731
184		2765
185		2748
186		2677
187		2690
188		2675
189		2677
190		2684
191		2561
192		2485
193		2578
194		2650
195		2561
196		2567
197		2487
198		2572
199		2425
200		2548
201		2475
202		2496
203		2435
204		2468
205		2494
206		2452
207		2348
208		2419
209		2351
210		2404
211		2378
212		2314
213		2385
214		2293
215		2273
216		2311
217		2291
218		2298
219		2229
220		2197
221		2217
222		2267
223		2274
224		2057
225		2208
226		2210
227		2218
228		2220
229		2108
230		2107
231		2117
232		2097
233		2117
234		2170
235		2050
236		2060
237		2179
238		2051
239		1993
240		2031
241		2082
242		1988
243		2001
244		2002
245		2092
246		2034
247		1944
248		1994
249		1890
250		1916
251		1941
252		1905
253		2039
254		1958
255		1910
256		1865
257		1931
258		1889
259		1811
260		1862
261		1818
262		1852
263		1841
264		1821
265		1832
266		1832
267		1823
268		1797
269		1842
270		1751
271		1826
272		1924
273		1749
274		1796
275		1813
276		1705
277		1736
278		1736
279		1745
280		1711
281		1831
282		1738
283		1720
284		1745
285		1742
286		1678
287		1722
288		1726
289		1790
290		1707
291		1669
292		1718
293		1726
294		1833
295		1723
296		1716
297		1715
298		1737
299		1741
300		1660
301		1699
302		1703
303		1761
304		1646
305		1645
306		1714
307		1690
308		1693
309		1659
310		1632
311		1618
312		1655
313		1708
314		1614
315		1612
316		1654
317		1672
318		1683
319		1613
320		1691
321		1685
322		1627
323		1677
324		1664
325		1638
326		1721
327		1651
328		1654
329		1674
330		1658
331		1571
332		1648
333		1620
334		1639
335		1582
336		1602
337		1609
338		1593
339		1583
340		1589
341		1648
342		1590
343		1560
344		1594
345		1539
346		1523
347		1518
348		1506
349		1594
350		1597
351		1625
352		1567
353		1571
354		1512
355		1573
356		1560
357		1568
358		1499
359		1575
360		1655
361		1623
362		1523
363		1637
364		1596
365		1675
366		1553
367		1619
368		1557
369		1609
370		1524
371		1541
372		1567
373		1621
374		1634
375		1623
