Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	2
49	15
50	32
51	43
52	23
53	35
54	36
55	34
56	25
57	50
58	37
59	48
60	38
61	44
62	41
63	64
64	19
65	44
66	46
67	40
68	44
69	43
70	50
71	52
72	35
73	54
74	55
75	61
76	56
77	71
78	70
79	91
80	37
81	65
82	90
83	136
84	85
85	122
86	171
87	242
88	166
89	308
90	259
91	420
92	323
93	492
94	417
95	662
96	207
97	382
98	330
99	352
100	275
101	227
102	219
103	188
104	123
105	167
106	117
107	130
108	105
109	118
110	98
111	128
112	56
113	85
114	78
115	86
116	62
117	52
118	46
119	61
120	48
121	50
122	45
123	54
124	28
125	58
126	39
127	92
128	13
129	58
130	48
131	65
132	33
133	38
134	45
135	42
136	44
137	54
138	38
139	51
140	29
141	44
142	48
143	58
144	19
145	40
146	41
147	58
148	36
149	42
150	42
151	49
152	28
153	49
154	40
155	52
156	41
157	43
158	36
159	76
160	22
161	48
162	50
163	49
164	54
165	32
166	47
167	65
168	25
169	45
170	39
171	46
172	56
173	50
174	46
175	44
176	27
177	56
178	54
179	58
180	51
181	52
182	73
183	60
184	39
185	65
186	42
187	55
188	38
189	52
190	51
191	79
192	12
193	58
194	55
195	61
196	57
197	50
198	69
199	76
200	69
201	72
202	66
203	79
204	84
205	93
206	104
207	89
208	61
209	115
210	89
211	142
212	103
213	95
214	131
215	128
216	106
217	156
218	109
219	158
220	134
221	157
222	119
223	170
224	70
225	108
226	104
227	100
228	100
229	86
230	112
231	99
232	73
233	77
234	75
235	88
236	59
237	76
238	73
239	76
240	51
241	67
242	73
243	113
244	69
245	76
246	85
247	86
248	60
249	91
250	82
251	73
252	91
253	76
254	77
255	145
256	28
257	64
258	71
259	80
260	66
261	65
262	84
263	69
264	44
265	69
266	43
267	57
268	41
269	63
270	63
271	59
272	47
273	62
274	58
275	69
276	60
277	54
278	46
279	65
280	42
281	52
282	57
283	62
284	40
285	52
286	51
287	85
288	33
289	45
290	52
291	50
292	53
293	41
294	58
295	69
296	33
297	74
298	40
299	58
300	58
301	56
302	52
303	59
304	51
305	44
306	48
307	46
308	52
309	65
310	61
311	69
312	33
313	60
314	44
315	69
316	50
317	58
318	48
319	89
320	23
321	53
322	41
323	59
324	60
325	63
326	57
327	61
328	48
329	57
330	58
331	51
332	54
333	51
334	49
335	49
336	39
337	64
338	61
339	55
340	45
341	52
342	65
343	52
344	39
345	57
346	45
347	59
348	58
349	50
350	39
351	60
352	40
353	47
354	54
355	58
356	52
357	34
358	50
359	70
360	39
361	64
362	58
363	61
364	62
365	65
366	60
367	59
368	35
369	60
370	53
371	65
372	46
373	44
374	52
375	46
376	44
377	59
378	46
379	72
380	56
381	58
382	60
383	79
384	24
385	50
386	37
387	57
388	58
389	46
390	51
391	66
392	46
393	44
394	46
395	60
396	60
397	53
398	53
399	59
400	39
401	56
402	46
403	49
404	49
405	52
406	50
407	47
408	43
409	58
410	49
411	66
412	47
413	53
414	48
415	87
416	40
417	49
418	47
419	42
420	53
421	52
422	43
423	50
424	41
425	51
426	39
427	55
428	51
429	48
430	39
431	45
432	42
433	50
434	44
435	44
436	59
437	49
438	66
439	56
440	37
441	45
442	37
443	50
444	42
445	54
446	51
447	64
448	38
449	57
450	55
451	40
452	51
453	39
454	58
455	55
456	44
457	41
458	41
459	49
460	56
461	55
462	41
463	53
464	29
465	48
466	46
467	61
468	43
469	58
470	55
471	49
472	48
473	52
474	33
475	60
476	50
477	48
478	55
479	73
480	27
481	48
482	65
483	49
484	61
485	49
486	51
487	55
488	36
489	51
490	51
491	36
492	54
493	59
494	54
495	64
496	29
497	58
498	44
499	55
500	56
501	53
502	77
503	59
504	43
505	77
506	49
507	64
508	47
509	64
510	57
511	98
512	21
513	50
514	61
515	86
516	49
517	53
518	73
519	42
520	50
521	58
522	39
523	73
524	40
525	59
526	47
527	54
528	44
529	69
530	59
531	74
532	49
533	50
534	65
535	53
536	38
537	59
538	43
539	57
540	44
541	59
542	58
543	72
544	23
545	59
546	50
547	72
548	66
549	48
550	65
551	55
552	38
553	58
554	43
555	63
556	51
557	64
558	53
559	59
560	34
561	42
562	60
563	59
564	45
565	46
566	56
567	59
568	28
569	59
570	49
571	58
572	48
573	50
574	54
575	81
576	25
577	58
578	55
579	41
580	48
581	44
582	61
583	55
584	41
585	73
586	46
587	50
588	48
589	67
590	49
591	65
592	27
593	38
594	53
595	68
596	46
597	36
598	60
599	47
600	39
601	54
602	41
603	48
604	59
605	61
606	52
607	74
608	26
609	59
610	47
611	52
612	59
613	58
614	62
615	41
616	35
617	55
618	46
619	61
620	53
621	52
622	43
623	60
624	20
625	35
626	37
627	55
628	39
629	39
630	49
631	57
632	30
633	57
634	46
635	60
636	45
637	50
638	50
639	85
640	17
641	47
642	47
643	49
644	51
645	48
646	41
647	41
648	33
649	49
650	34
651	58
652	51
653	46
654	40
655	58
656	34
657	48
658	43
659	52
660	39
661	38
662	50
663	48
664	39
665	58
666	43
667	55
668	50
669	57
670	48
671	70
672	29
673	46
674	42
675	55
676	57
677	49
678	53
679	48
680	38
681	58
682	42
683	57
684	49
685	44
686	48
687	45
688	34
689	49
690	43
691	48
692	47
693	46
694	58
695	49
696	28
697	55
698	50
699	45
700	50
701	51
702	49
703	71
704	33
705	42
706	48
707	54
708	57
709	48
710	42
711	34
712	29
713	50
714	33
715	47
716	55
717	40
718	40
719	56
720	26
721	42
722	45
723	51
724	35
725	38
726	46
727	40
728	41
729	53
730	35
731	54
732	38
733	38
734	41
735	53
736	22
737	46
738	40
739	51
740	55
741	47
742	41
743	52
744	28
745	55
746	32
747	39
748	44
749	39
750	49
751	58
752	33
753	62
754	43
755	51
756	28
757	34
758	44
759	39
760	38
761	58
762	36
763	43
764	45
765	46
766	56
767	55
768	19
769	40
770	46
771	44
772	41
773	39
774	42
775	49
776	36
777	54
778	45
779	48
780	44
781	45
782	36
783	44
784	30
785	39
786	56
787	53
788	35
789	39
790	47
791	41
792	42
793	40
794	35
795	49
796	30
797	44
798	34
799	48
800	26
801	41
802	48
803	59
804	48
805	23
806	51
807	38
808	22
809	49
810	42
811	54
812	41
813	40
814	38
815	40
816	33
817	42
818	38
819	42
820	32
821	39
822	42
823	39
824	25
825	43
826	32
827	57
828	33
829	42
830	43
831	46
832	30
833	38
834	48
835	41
836	45
837	31
838	38
839	43
840	40
841	59
842	31
843	36
844	52
845	33
846	36
847	39
848	34
849	31
850	30
851	53
852	31
853	35
854	39
855	36
856	31
857	36
858	29
859	49
860	43
861	34
862	37
863	52
864	20
865	31
866	37
867	50
868	38
869	30
870	42
871	36
872	31
873	46
874	43
875	50
876	39
877	47
878	39
879	43
880	25
881	42
882	41
883	51
884	46
885	33
886	40
887	37
888	22
889	50
890	35
891	44
892	33
893	43
894	40
895	61
896	13
897	50
898	39
899	34
900	27
901	30
902	48
903	35
904	31
905	41
906	25
907	41
908	37
909	36
910	43
911	38
912	23
913	39
914	43
915	49
916	36
917	36
918	38
919	47
920	44
921	35
922	45
923	46
924	40
925	41
926	40
927	58
928	39
929	42
930	30
931	50
932	44
933	30
934	37
935	37
936	26
937	38
938	31
939	36
940	44
941	36
942	40
943	30
944	33
945	30
946	42
947	26
948	39
949	42
950	41
951	47
952	38
953	42
954	22
955	44
956	41
957	43
958	28
959	45
960	30
961	29
962	39
963	35
964	33
965	33
966	36
967	37
968	30
969	47
970	35
971	56
972	43
973	36
974	40
975	32
976	25
977	49
978	28
979	44
980	27
981	40
982	42
983	31
984	30
985	45
986	31
987	42
988	37
989	37
990	25
991	45
992	27
993	42
994	51
995	51
996	33
997	22
998	42
999	33
1000	24
1001	34
1002	28
1003	36
1004	41
1005	31
1006	33
1007	46
1008	30
1009	30
1010	42
1011	39
1012	43
1013	37
1014	43
1015	39
1016	25
1017	41
1018	32
1019	41
1020	36
1021	36
1022	34
1023	65
1024	5
1025	32
1026	43
1027	42
1028	22
1029	26
1030	45
1031	38
1032	29
1033	49
1034	33
1035	47
1036	45
1037	31
1038	53
1039	45
1040	25
1041	48
1042	28
1043	46
1044	33
1045	40
1046	44
1047	43
1048	26
1049	49
1050	25
1051	30
1052	32
1053	31
1054	41
1055	50
1056	13
1057	37
1058	39
1059	39
1060	30
1061	34
1062	35
1063	36
1064	18
1065	43
1066	19
1067	28
1068	46
1069	41
1070	41
1071	27
1072	30
1073	30
1074	32
1075	49
1076	39
1077	38
1078	38
1079	29
1080	31
1081	50
1082	39
1083	48
1084	41
1085	32
1086	39
1087	63
1088	15
1089	25
1090	35
1091	47
1092	39
1093	30
1094	34
1095	48
1096	27
1097	44
1098	31
1099	36
1100	35
1101	32
1102	36
1103	58
1104	23
1105	31
1106	38
1107	40
1108	38
1109	32
1110	39
1111	35
1112	29
1113	32
1114	29
1115	38
1116	35
1117	48
1118	41
1119	34
1120	22
1121	31
1122	43
1123	28
1124	30
1125	28
1126	34
1127	43
1128	24
1129	45
1130	27
1131	45
1132	35
1133	36
1134	42
1135	42
1136	17
1137	30
1138	39
1139	49
1140	30
1141	25
1142	29
1143	35
1144	19
1145	49
1146	24
1147	48
1148	30
1149	46
1150	32
1151	62
1152	12
1153	38
1154	38
1155	42
1156	36
1157	39
1158	43
1159	32
1160	27
1161	48
1162	32
1163	47
1164	31
1165	36
1166	27
1167	52
1168	20
1169	26
1170	42
1171	40
1172	26
1173	35
1174	33
1175	39
1176	22
1177	46
1178	22
1179	52
1180	26
1181	36
1182	29
1183	49
1184	12
1185	47
1186	39
1187	36
1188	37
1189	28
1190	38
1191	51
1192	19
1193	43
1194	25
1195	40
1196	40
1197	30
1198	38
1199	39
1200	16
1201	37
1202	28
1203	44
1204	30
1205	28
1206	48
1207	26
1208	24
1209	42
1210	33
1211	29
1212	36
1213	23
1214	37
1215	45
1216	15
1217	29
1218	44
1219	25
1220	32
1221	26
1222	27
1223	28
1224	32
1225	33
1226	19
1227	30
1228	35
1229	28
1230	30
1231	44
1232	20
1233	32
1234	30
1235	44
1236	28
1237	30
1238	33
1239	23
1240	31
1241	30
1242	12
1243	26
1244	25
1245	24
1246	31
1247	44
1248	15
1249	26
1250	31
1251	22
1252	27
1253	25
1254	23
1255	26
1256	20
1257	26
1258	15
1259	22
1260	23
1261	22
1262	21
1263	28
1264	18
1265	13
1266	15
1267	25
1268	30
1269	14
1270	20
1271	27
1272	16
1273	26
1274	24
1275	21
1276	30
1277	20
1278	24
1279	32
1280	2
1281	14
1282	21
1283	21
1284	18
1285	17
1286	19
1287	21
1288	11
1289	23
1290	13
1291	15
1292	24
1293	21
1294	16
1295	20
1296	13
1297	16
1298	14
1299	15
1300	15
1301	19
1302	15
1303	16
1304	7
1305	18
1306	11
1307	22
1308	16
1309	14
1310	14
1311	16
1312	16
1313	15
1314	11
1315	24
1316	15
1317	21
1318	21
1319	13
1320	9
1321	17
1322	13
1323	10
1324	8
1325	16
1326	12
1327	10
1328	14
1329	10
1330	16
1331	15
1332	13
1333	12
1334	13
1335	13
1336	8
1337	10
1338	11
1339	22
1340	10
1341	10
1342	13
1343	14
1344	4
1345	13
1346	11
1347	14
1348	14
1349	13
1350	19
1351	12
1352	5
1353	11
1354	10
1355	17
1356	11
1357	11
1358	14
1359	12
1360	8
1361	12
1362	8
1363	13
1364	12
1365	9
1366	11
1367	8
1368	8
1369	13
1370	10
1371	11
1372	7
1373	12
1374	10
1375	13
1376	14
1377	10
1378	10
1379	12
1380	6
1381	10
1382	17
1383	12
1384	6
1385	19
1386	8
1387	12
1388	10
1389	5
1390	8
1391	10
1392	7
1393	12
1394	8
1395	9
1396	5
1397	9
1398	10
1399	6
1400	7
1401	8
1402	8
1403	9
1404	7
1405	2
1406	14
1407	11
1408	6
1409	12
1410	9
1411	5
1412	10
1413	4
1414	7
1415	8
1416	8
1417	7
1418	6
1419	7
1420	7
1421	8
1422	5
1423	7
1424	7
1425	12
1426	7
1427	10
1428	9
1429	5
1430	8
1431	6
1432	5
1433	9
1434	12
1435	10
1436	8
1437	8
1438	7
1439	13
1440	6
1441	12
1442	10
1443	4
1444	13
1445	9
1446	9
1447	6
1448	6
1449	5
1450	5
1451	3
1452	12
1453	5
1454	3
1455	3
1456	6
1457	4
1458	8
1459	4
1460	4
1461	7
1462	12
1463	8
1464	5
1465	9
1466	3
1467	6
1468	7
1469	4
1470	6
1471	5
1472	2
1473	8
1474	8
1475	4
1476	7
1477	4
1478	3
1479	7
1480	3
1481	4
1482	4
1483	6
1484	9
1485	5
1486	14
1487	9
1488	2
1489	5
1490	3
1491	8
1492	6
1493	6
1494	6
1495	2
1496	3
1497	9
1498	8
1499	7
1500	7
1501	9
1502	2
1503	11
1504	5
1505	4
1506	4
1507	3
1508	8
1509	5
1510	6
1511	6
1512	2
1513	12
1514	6
1515	4
1516	6
1517	10
1518	3
1519	4
1520	2
1521	5
1522	3
1523	7
1524	6
1525	3
1526	12
1527	2
1528	4
1529	2
1530	7
1531	9
1532	0
1533	4
1534	3
1535	10
1536	4
1537	1
1538	2
1539	7
1540	9
1541	2
1542	6
1543	4
1544	4
1545	9
1546	4
1547	0
1548	9
1549	7
1550	2
1551	6
1552	4
1553	5
1554	4
1555	3
1556	4
1557	5
1558	6
1559	6
1560	5
1561	5
1562	5
1563	6
1564	5
1565	3
1566	6
1567	8
1568	3
1569	6
1570	2
1571	3
1572	8
1573	4
1574	6
1575	6
1576	5
1577	6
1578	4
1579	7
1580	4
1581	7
1582	4
1583	7
1584	3
1585	4
1586	6
1587	9
1588	2
1589	5
1590	5
1591	3
1592	6
1593	6
1594	5
1595	3
1596	4
1597	2
1598	8
1599	2
1600	3
1601	7
1602	7
1603	15
1604	1
1605	4
1606	8
1607	1
1608	7
1609	7
1610	9
1611	9
1612	3
1613	2
1614	7
1615	2
1616	2
1617	6
1618	10
1619	8
1620	7
1621	3
1622	11
1623	3
1624	4
1625	12
1626	7
1627	3
1628	3
1629	10
1630	5
1631	10
1632	5
1633	5
1634	5
1635	11
1636	5
1637	6
1638	7
1639	6
1640	4
1641	12
1642	6
1643	7
1644	8
1645	6
1646	7
1647	10
1648	8
1649	16
1650	5
1651	8
1652	18
1653	5
1654	20
1655	10
1656	7
1657	22
1658	18
1659	19
1660	17
1661	14
1662	19
1663	28
1664	12
1665	21
1666	22
1667	21
1668	28
1669	24
1670	34
1671	28
1672	24
1673	29
1674	27
1675	26
1676	31
1677	30
1678	29
1679	31
1680	25
1681	32
1682	40
1683	47
1684	34
1685	40
1686	42
1687	34
1688	38
1689	57
1690	54
1691	56
1692	39
1693	63
1694	55
1695	84
1696	46
1697	51
1698	71
1699	68
1700	75
1701	70
1702	88
1703	85
1704	57
1705	110
1706	70
1707	80
1708	73
1709	91
1710	96
1711	71
1712	98
1713	93
1714	85
1715	126
1716	97
1717	71
1718	132
1719	113
1720	75
1721	114
1722	87
1723	137
1724	125
1725	144
1726	135
1727	158
1728	112
1729	126
1730	111
1731	115
1732	190
1733	127
1734	178
1735	120
1736	123
1737	156
1738	139
1739	157
1740	165
1741	171
1742	147
1743	178
1744	129
1745	150
1746	158
1747	189
1748	168
1749	127
1750	204
1751	118
1752	162
1753	212
1754	134
1755	219
1756	168
1757	184
1758	183
1759	225
1760	140
1761	169
1762	197
1763	183
1764	225
1765	142
1766	237
1767	166
1768	123
1769	223
1770	164
1771	169
1772	259
1773	168
1774	177
1775	150
1776	144
1777	158
1778	185
1779	194
1780	167
1781	135
1782	221
1783	148
1784	141
1785	191
1786	151
1787	167
1788	157
1789	148
1790	175
1791	181
1792	103
1793	141
1794	142
1795	145
1796	169
1797	122
1798	157
1799	112
1800	123
1801	142
1802	106
1803	147
1804	128
1805	127
1806	108
1807	87
1808	98
1809	125
1810	104
1811	127
1812	78
1813	88
1814	101
1815	82
1816	86
1817	98
1818	63
1819	106
1820	102
1821	89
1822	85
1823	75
1824	60
1825	70
1826	72
1827	73
1828	82
1829	50
1830	64
1831	62
1832	46
1833	63
1834	37
1835	47
1836	71
1837	43
1838	70
1839	38
1840	44
1841	39
1842	31
1843	39
1844	39
1845	44
1846	41
1847	40
1848	21
1849	27
1850	24
1851	29
1852	20
1853	30
1854	26
1855	26
1856	19
1857	14
1858	19
1859	27
1860	21
1861	12
1862	23
1863	7
1864	9
1865	14
1866	12
1867	14
1868	13
1869	11
1870	5
1871	5
1872	5
1873	10
1874	9
1875	11
1876	9
1877	2
1878	10
1879	4
1880	7
1881	5
1882	7
1883	8
1884	3
1885	7
1886	6
1887	4
1888	3
1889	6
1890	5
1891	5
1892	7
1893	4
1894	5
1895	2
1896	2
1897	4
1898	3
1899	4
1900	2
1901	2
1902	4
1903	3
1904	1
1905	1
1906	0
1907	0
1908	0
1909	0
1910	1
1911	0
1912	2
1913	3
1914	2
1915	3
1916	1
1917	2
1918	3
1919	2
1920	2
1921	4
1922	2
1923	1
1924	1
1925	1
1926	0
1927	1
1928	2
1929	1
1930	1
1931	2
1932	1
1933	0
1934	2
1935	1
1936	1
1937	1
1938	5
1939	0
1940	1
1941	2
1942	0
1943	1
1944	0
1945	2
1946	0
1947	3
1948	0
1949	5
1950	2
1951	0
1952	2
1953	1
1954	0
1955	0
1956	1
1957	0
1958	3
1959	2
1960	1
1961	2
1962	0
1963	1
1964	2
1965	2
1966	1
1967	3
1968	2
1969	0
1970	2
1971	2
1972	0
1973	2
1974	1
1975	1
1976	1
1977	1
1978	1
1979	3
1980	0
1981	1
1982	2
1983	2
1984	2
1985	1
1986	0
1987	0
1988	1
1989	0
1990	0
1991	1
1992	2
1993	3
1994	0
1995	0
1996	2
1997	2
1998	4
1999	1
2000	3
2001	2
2002	0
2003	3
2004	1
2005	1
2006	3
2007	3
2008	1
2009	1
2010	1
2011	1
2012	2
2013	1
2014	0
2015	0
2016	3
2017	1
2018	0
2019	1
2020	1
2021	0
2022	1
2023	0
2024	3
2025	1
2026	0
2027	1
2028	2
2029	0
2030	2
2031	1
2032	0
