Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	2
53	1
54	2
55	0
56	2
57	5
58	0
59	1
60	3
61	5
62	13
63	19
64	8
65	11
66	20
67	22
68	16
69	12
70	14
71	18
72	11
73	25
74	16
75	20
76	18
77	18
78	20
79	13
80	18
81	29
82	23
83	18
84	23
85	18
86	18
87	19
88	20
89	22
90	7
91	18
92	20
93	25
94	23
95	36
96	13
97	22
98	24
99	22
100	38
101	38
102	55
103	30
104	43
105	48
106	50
107	48
108	41
109	53
110	46
111	60
112	53
113	55
114	41
115	35
116	56
117	38
118	48
119	49
120	30
121	45
122	29
123	39
124	35
125	43
126	25
127	48
128	14
129	30
130	35
131	27
132	44
133	42
134	36
135	46
136	27
137	31
138	25
139	21
140	33
141	23
142	29
143	27
144	23
145	23
146	22
147	32
148	26
149	25
150	31
151	25
152	31
153	30
154	23
155	20
156	21
157	22
158	29
159	29
160	19
161	26
162	32
163	23
164	17
165	19
166	29
167	26
168	19
169	25
170	18
171	30
172	32
173	21
174	34
175	15
176	23
177	29
178	29
179	18
180	20
181	23
182	18
183	19
184	31
185	17
186	24
187	20
188	23
189	23
190	24
191	25
192	16
193	21
194	24
195	21
196	24
197	19
198	25
199	21
200	21
201	22
202	23
203	24
204	28
205	29
206	26
207	19
208	22
209	24
210	29
211	27
212	25
213	31
214	32
215	18
216	21
217	28
218	21
219	25
220	21
221	25
222	28
223	28
224	19
225	20
226	24
227	17
228	24
229	21
230	17
231	31
232	28
233	25
234	18
235	23
236	19
237	21
238	19
239	23
240	19
241	22
242	37
243	25
244	13
245	25
246	24
247	22
248	13
249	25
250	24
251	23
252	18
253	20
254	19
255	24
256	12
257	21
258	22
259	21
260	21
261	21
262	25
263	23
264	21
265	24
266	25
267	19
268	22
269	20
270	19
271	28
272	20
273	38
274	17
275	33
276	17
277	19
278	23
279	24
280	31
281	23
282	25
283	28
284	23
285	29
286	13
287	23
288	16
289	25
290	25
291	22
292	20
293	20
294	16
295	22
296	20
297	31
298	15
299	16
300	26
301	23
302	18
303	29
304	19
305	24
306	20
307	24
308	19
309	17
310	19
311	17
312	20
313	16
314	25
315	28
316	26
317	25
318	28
319	28
320	17
321	15
322	11
323	21
324	18
325	24
326	23
327	19
328	17
329	27
330	31
331	19
332	31
333	23
334	18
335	29
336	24
337	31
338	20
339	32
340	37
341	23
342	19
343	36
344	27
345	23
346	28
347	29
348	30
349	29
350	29
351	26
352	33
353	38
354	22
355	21
356	38
357	28
358	33
359	20
360	30
361	25
362	29
363	24
364	19
365	19
366	31
367	24
368	20
369	29
370	27
371	21
372	29
373	28
374	29
375	23
376	23
377	20
378	24
379	27
380	32
381	26
382	33
383	24
384	13
385	16
386	28
387	16
388	26
389	20
390	18
391	27
392	21
393	24
394	25
395	26
396	23
397	26
398	20
399	21
400	19
401	22
402	25
403	29
404	25
405	29
406	30
407	21
408	27
409	29
410	21
411	17
412	14
413	22
414	20
415	27
416	23
417	16
418	16
419	30
420	35
421	26
422	22
423	22
424	26
425	30
426	24
427	23
428	27
429	27
430	19
431	17
432	13
433	32
434	25
435	22
436	13
437	14
438	22
439	23
440	27
441	32
442	20
443	26
444	22
445	23
446	22
447	33
448	13
449	19
450	26
451	21
452	25
453	15
454	21
455	27
456	26
457	20
458	25
459	25
460	25
461	20
462	23
463	24
464	17
465	16
466	16
467	25
468	28
469	20
470	19
471	23
472	23
473	19
474	28
475	21
476	21
477	26
478	27
479	20
480	13
481	22
482	25
483	22
484	19
485	26
486	20
487	20
488	20
489	25
490	10
491	16
492	25
493	19
494	18
495	13
496	18
497	15
498	14
499	23
500	23
501	14
502	19
503	22
504	20
505	29
506	19
507	11
508	18
509	20
510	23
511	25
512	4
513	24
514	22
515	18
516	13
517	15
518	20
519	25
520	21
521	25
522	11
523	22
524	22
525	19
526	21
527	21
528	15
529	19
530	21
531	23
532	20
533	21
534	27
535	14
536	16
537	14
538	18
539	24
540	9
541	13
542	15
543	21
544	14
545	24
546	12
547	17
548	17
549	16
550	15
551	15
552	13
553	14
554	24
555	18
556	19
557	20
558	22
559	14
560	16
561	22
562	27
563	18
564	23
565	15
566	23
567	17
568	11
569	24
570	16
571	15
572	13
573	25
574	15
575	12
576	20
577	23
578	26
579	17
580	18
581	7
582	22
583	14
584	16
585	20
586	20
587	16
588	19
589	15
590	20
591	9
592	16
593	15
594	22
595	19
596	19
597	13
598	29
599	18
600	23
601	16
602	16
603	20
604	13
605	16
606	23
607	21
608	11
609	9
610	20
611	16
612	17
613	15
614	24
615	12
616	17
617	21
618	11
619	20
620	17
621	17
622	11
623	14
624	12
625	19
626	17
627	11
628	23
629	16
630	21
631	26
632	16
633	19
634	14
635	15
636	6
637	27
638	11
639	23
640	13
641	22
642	23
643	20
644	17
645	17
646	17
647	11
648	13
649	20
650	18
651	20
652	14
653	15
654	19
655	16
656	23
657	16
658	13
659	19
660	15
661	21
662	26
663	18
664	16
665	7
666	13
667	14
668	18
669	19
670	21
671	12
672	14
673	12
674	18
675	17
676	19
677	10
678	14
679	23
680	19
681	16
682	26
683	20
684	22
685	13
686	17
687	14
688	11
689	14
690	16
691	13
692	21
693	13
694	16
695	12
696	19
697	22
698	20
699	13
700	13
701	17
702	14
703	13
704	17
705	15
706	10
707	16
708	17
709	21
710	21
711	14
712	17
713	13
714	15
715	15
716	18
717	12
718	15
719	16
720	10
721	11
722	19
723	20
724	9
725	16
726	16
727	10
728	16
729	12
730	19
731	22
732	21
733	17
734	11
735	17
736	20
737	7
738	12
739	23
740	14
741	13
742	20
743	10
744	16
745	14
746	10
747	16
748	10
749	14
750	18
751	15
752	16
753	15
754	14
755	12
756	13
757	15
758	14
759	19
760	6
761	19
762	20
763	17
764	15
765	12
766	20
767	20
768	7
769	15
770	19
771	17
772	17
773	12
774	13
775	14
776	19
777	16
778	11
779	11
780	17
781	12
782	14
783	11
784	12
785	15
786	12
787	18
788	12
789	19
790	16
791	8
792	17
793	24
794	12
795	12
796	14
797	12
798	17
799	21
800	17
801	19
802	14
803	12
804	19
805	12
806	12
807	15
808	22
809	14
810	11
811	18
812	17
813	12
814	11
815	17
816	14
817	12
818	12
819	8
820	4
821	10
822	11
823	19
824	14
825	12
826	16
827	22
828	13
829	12
830	15
831	15
832	16
833	13
834	21
835	13
836	18
837	18
838	18
839	8
840	21
841	20
842	19
843	12
844	17
845	11
846	15
847	12
848	13
849	9
850	11
851	18
852	13
853	14
854	10
855	12
856	9
857	16
858	8
859	15
860	7
861	24
862	16
863	12
864	9
865	23
866	9
867	16
868	12
869	16
870	13
871	16
872	15
873	20
874	13
875	16
876	21
877	10
878	16
879	21
880	14
881	24
882	13
883	8
884	13
885	16
886	19
887	14
888	12
889	18
890	11
891	12
892	15
893	15
894	11
895	20
896	11
897	16
898	23
899	14
900	15
901	15
902	15
903	10
904	12
905	16
906	17
907	15
908	8
909	26
910	12
911	6
912	19
913	9
914	12
915	15
916	12
917	13
918	10
919	14
920	13
921	18
922	13
923	10
924	13
925	14
926	10
927	12
928	9
929	17
930	19
931	13
932	17
933	17
934	12
935	12
936	9
937	19
938	12
939	14
940	17
941	19
942	10
943	8
944	14
945	16
946	22
947	13
948	19
949	16
950	16
951	15
952	7
953	15
954	19
955	15
956	12
957	15
958	13
959	18
960	15
961	21
962	18
963	5
964	22
965	11
966	16
967	13
968	10
969	13
970	14
971	18
972	18
973	10
974	16
975	21
976	15
977	19
978	18
979	10
980	18
981	11
982	11
983	12
984	16
985	15
986	14
987	13
988	17
989	14
990	13
991	20
992	11
993	15
994	12
995	15
996	17
997	15
998	18
999	14
1000	12
1001	14
1002	12
1003	18
1004	13
1005	16
1006	24
1007	15
1008	11
1009	11
1010	10
1011	23
1012	15
1013	16
1014	18
1015	14
1016	18
1017	16
1018	12
1019	14
1020	16
1021	20
1022	14
1023	15
1024	10
1025	20
1026	16
1027	19
1028	9
1029	12
1030	8
1031	12
1032	8
1033	17
1034	17
1035	14
1036	17
1037	13
1038	17
1039	13
1040	14
1041	12
1042	16
1043	17
1044	13
1045	17
1046	18
1047	13
1048	15
1049	23
1050	9
1051	16
1052	9
1053	13
1054	19
1055	24
1056	6
1057	10
1058	17
1059	15
1060	12
1061	10
1062	18
1063	21
1064	13
1065	29
1066	10
1067	16
1068	19
1069	14
1070	10
1071	11
1072	18
1073	13
1074	19
1075	20
1076	17
1077	11
1078	18
1079	12
1080	17
1081	12
1082	10
1083	16
1084	13
1085	10
1086	10
1087	25
1088	10
1089	22
1090	15
1091	15
1092	15
1093	17
1094	18
1095	22
1096	18
1097	14
1098	9
1099	13
1100	18
1101	16
1102	13
1103	17
1104	8
1105	7
1106	19
1107	23
1108	20
1109	16
1110	17
1111	11
1112	12
1113	20
1114	7
1115	21
1116	16
1117	14
1118	8
1119	21
1120	17
1121	11
1122	10
1123	10
1124	13
1125	9
1126	15
1127	11
1128	11
1129	19
1130	6
1131	11
1132	16
1133	9
1134	13
1135	16
1136	9
1137	12
1138	12
1139	10
1140	12
1141	8
1142	10
1143	8
1144	7
1145	12
1146	7
1147	7
1148	11
1149	14
1150	11
1151	8
1152	5
1153	9
1154	8
1155	12
1156	8
1157	5
1158	5
1159	10
1160	2
1161	8
1162	9
1163	9
1164	6
1165	4
1166	7
1167	5
1168	8
1169	8
1170	6
1171	4
1172	9
1173	1
1174	8
1175	5
1176	4
1177	7
1178	2
1179	7
1180	4
1181	6
1182	5
1183	5
1184	1
1185	6
1186	7
1187	6
1188	15
1189	8
1190	9
1191	8
1192	6
1193	8
1194	5
1195	9
1196	3
1197	3
1198	4
1199	5
1200	6
1201	5
1202	5
1203	9
1204	8
1205	5
1206	6
1207	7
1208	5
1209	7
1210	2
1211	2
1212	0
1213	4
1214	1
1215	2
1216	2
1217	5
1218	3
1219	6
1220	5
1221	6
1222	5
1223	7
1224	2
1225	6
1226	4
1227	7
1228	6
1229	7
1230	3
1231	5
1232	4
1233	2
1234	1
1235	6
1236	5
1237	2
1238	5
1239	2
1240	5
1241	6
1242	2
1243	2
1244	2
1245	2
1246	3
1247	2
1248	4
1249	7
1250	2
1251	2
1252	3
1253	2
1254	7
1255	3
1256	3
1257	3
1258	5
1259	2
1260	2
1261	4
1262	0
1263	5
1264	3
1265	4
1266	3
1267	4
1268	2
1269	2
1270	1
1271	4
1272	2
1273	3
1274	6
1275	4
1276	2
1277	1
1278	5
1279	4
1280	0
1281	1
1282	2
1283	2
1284	1
1285	2
1286	1
1287	2
1288	3
1289	4
1290	1
1291	4
1292	2
1293	3
1294	1
1295	4
1296	0
1297	2
1298	3
1299	2
1300	2
1301	1
1302	4
1303	0
1304	1
1305	5
1306	1
1307	1
1308	1
1309	4
1310	5
1311	1
1312	0
1313	1
1314	2
1315	1
1316	4
1317	4
1318	3
1319	2
1320	2
1321	0
1322	1
1323	2
1324	3
1325	0
1326	3
1327	2
1328	1
1329	0
1330	2
1331	3
1332	2
1333	3
1334	5
1335	0
1336	1
1337	4
1338	3
1339	1
1340	2
1341	4
1342	2
1343	0
1344	1
1345	1
1346	2
1347	4
1348	1
1349	2
1350	1
1351	1
1352	0
1353	3
1354	3
1355	1
1356	1
1357	1
1358	2
1359	2
1360	0
1361	1
1362	1
1363	0
1364	1
1365	1
1366	1
1367	2
1368	2
1369	1
1370	0
1371	1
1372	1
1373	2
1374	0
1375	0
1376	1
1377	2
1378	2
1379	2
1380	2
1381	1
1382	1
1383	2
1384	0
1385	1
1386	0
1387	2
1388	3
1389	2
1390	1
1391	1
1392	2
1393	0
1394	3
1395	2
1396	0
1397	1
1398	0
1399	1
1400	2
1401	1
1402	1
1403	4
1404	1
1405	1
1406	2
1407	1
1408	2
1409	1
1410	0
1411	1
1412	0
1413	0
1414	1
1415	1
1416	3
1417	2
1418	4
1419	1
1420	1
1421	4
1422	1
1423	1
1424	1
1425	3
1426	8
1427	2
1428	2
1429	3
1430	4
1431	5
1432	7
1433	2
1434	4
1435	6
1436	2
1437	4
1438	4
1439	3
1440	5
1441	5
1442	9
1443	9
1444	5
1445	8
1446	7
1447	9
1448	5
1449	13
1450	8
1451	7
1452	8
1453	17
1454	13
1455	6
1456	12
1457	6
1458	12
1459	10
1460	13
1461	11
1462	22
1463	13
1464	18
1465	19
1466	25
1467	20
1468	15
1469	32
1470	9
1471	23
1472	21
1473	27
1474	34
1475	18
1476	34
1477	31
1478	34
1479	28
1480	20
1481	37
1482	24
1483	20
1484	37
1485	41
1486	42
1487	44
1488	28
1489	39
1490	45
1491	50
1492	53
1493	47
1494	50
1495	35
1496	52
1497	59
1498	53
1499	58
1500	57
1501	46
1502	53
1503	63
1504	48
1505	51
1506	48
1507	68
1508	86
1509	65
1510	68
1511	55
1512	56
1513	78
1514	60
1515	78
1516	82
1517	73
1518	56
1519	71
1520	59
1521	78
1522	61
1523	75
1524	67
1525	55
1526	68
1527	53
1528	76
1529	67
1530	59
1531	72
1532	66
1533	58
1534	62
1535	77
1536	55
1537	71
1538	62
1539	66
1540	73
1541	54
1542	87
1543	56
1544	50
1545	69
1546	54
1547	57
1548	69
1549	74
1550	61
1551	60
1552	43
1553	41
1554	54
1555	57
1556	57
1557	47
1558	56
1559	40
1560	45
1561	57
1562	36
1563	31
1564	38
1565	46
1566	35
1567	40
1568	28
1569	37
1570	33
1571	29
1572	27
1573	19
1574	28
1575	24
1576	20
1577	39
1578	24
1579	24
1580	22
1581	25
1582	16
1583	19
1584	11
1585	14
1586	23
1587	22
1588	13
1589	9
1590	18
1591	8
1592	7
1593	10
1594	10
1595	10
1596	10
1597	8
1598	9
1599	3
1600	6
1601	6
1602	5
1603	5
1604	7
1605	3
1606	5
1607	2
1608	6
1609	5
1610	3
1611	2
1612	1
1613	2
1614	1
1615	3
1616	2
1617	0
1618	4
1619	6
1620	2
1621	0
1622	1
1623	1
1624	5
1625	3
1626	2
1627	2
1628	0
1629	1
1630	0
1631	3
1632	2
1633	2
1634	0
1635	1
1636	0
1637	0
1638	0
1639	0
1640	0
1641	1
1642	1
1643	0
1644	0
1645	0
1646	1
1647	0
1648	0
1649	0
1650	0
1651	0
1652	0
1653	0
1654	1
1655	1
1656	0
1657	0
1658	0
1659	0
1660	0
1661	0
1662	0
1663	1
1664	1
1665	1
1666	1
1667	0
1668	0
1669	0
1670	0
1671	1
1672	0
1673	0
1674	0
1675	1
1676	1
1677	0
1678	1
1679	0
1680	0
1681	1
1682	1
1683	0
1684	1
1685	1
1686	1
1687	0
1688	1
1689	1
1690	0
1691	0
1692	0
1693	0
1694	0
1695	0
1696	0
1697	0
1698	0
1699	1
1700	1
1701	0
1702	2
1703	0
1704	0
1705	0
1706	1
1707	0
1708	0
1709	0
1710	0
1711	1
1712	0
1713	1
1714	1
1715	0
1716	0
1717	0
1718	0
1719	0
1720	1
1721	0
1722	0
1723	0
1724	0
1725	0
1726	0
1727	0
1728	0
1729	1
1730	0
1731	0
1732	0
1733	0
1734	1
1735	0
1736	0
1737	0
1738	1
1739	0
1740	0
1741	1
1742	0
1743	0
1744	0
1745	0
1746	1
1747	0
1748	0
1749	0
1750	0
1751	0
1752	0
1753	1
1754	1
1755	0
1756	0
1757	1
1758	1
1759	0
1760	1
1761	0
1762	0
1763	1
1764	1
1765	2
1766	0
1767	0
1768	0
1769	0
1770	0
1771	0
1772	0
1773	0
1774	1
1775	0
1776	0
1777	0
1778	1
1779	0
1780	0
1781	0
1782	0
1783	1
1784	0
1785	0
1786	0
1787	0
1788	0
1789	1
1790	0
1791	2
1792	1
1793	0
1794	1
1795	0
1796	0
1797	0
1798	2
1799	0
1800	1
1801	0
1802	0
1803	0
1804	1
1805	0
1806	1
1807	0
1808	0
1809	0
1810	0
1811	0
1812	0
1813	1
1814	0
1815	0
1816	0
1817	1
1818	1
1819	1
1820	0
1821	0
1822	0
1823	0
1824	1
1825	0
1826	0
1827	0
1828	0
1829	0
1830	0
1831	0
1832	1
1833	0
1834	0
1835	0
1836	0
1837	0
1838	1
1839	0
1840	0
1841	0
1842	1
1843	0
1844	0
1845	0
1846	1
1847	0
1848	2
1849	0
1850	0
1851	0
1852	0
1853	0
1854	0
1855	0
1856	0
1857	0
1858	1
1859	0
1860	2
1861	1
1862	0
1863	0
1864	0
1865	0
1866	0
1867	1
1868	0
1869	0
1870	0
1871	0
1872	0
1873	0
1874	1
1875	0
1876	0
1877	1
1878	0
1879	0
1880	1
1881	0
1882	0
1883	0
1884	0
1885	0
1886	0
1887	0
1888	0
1889	2
1890	0
1891	2
1892	0
1893	0
1894	1
1895	1
1896	1
1897	1
1898	1
1899	0
1900	1
1901	0
1902	0
1903	1
1904	0
1905	2
1906	0
1907	0
1908	0
1909	0
1910	0
1911	0
1912	0
1913	1
1914	0
1915	0
1916	0
1917	0
1918	0
1919	0
1920	0
1921	0
1922	1
1923	0
1924	0
1925	0
1926	0
1927	0
1928	0
1929	0
1930	0
1931	0
1932	1
1933	0
1934	2
1935	1
1936	0
1937	0
1938	0
1939	1
1940	1
1941	0
1942	0
1943	1
1944	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	1
1951	0
1952	0
1953	1
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	1
1976	0
1977	0
1978	0
1979	0
1980	0
1981	1
1982	0
1983	0
1984	1
1985	0
1986	0
1987	0
1988	0
1989	0
1990	0
1991	1
1992	0
1993	0
1994	1
1995	0
1996	0
1997	0
1998	0
1999	0
2000	1
2001	0
2002	0
2003	0
2004	0
2005	0
2006	2
2007	0
2008	0
2009	0
2010	0
2011	0
2012	0
2013	0
2014	0
2015	1
2016	0
2017	0
2018	0
2019	0
2020	0
2021	1
2022	1
2023	0
2024	1
2025	0
2026	0
2027	0
2028	1
2029	1
2030	0
2031	0
2032	0
