Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	0
9	0
10	0
11	1
12	0
13	0
14	0
15	1
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	0
35	0
36	1
37	0
38	0
39	1
40	0
41	2
42	0
43	0
44	0
45	0
46	1
47	18
48	47
49	164
50	191
51	272
52	227
53	221
54	263
55	283
56	179
57	292
58	222
59	316
60	223
61	297
62	241
63	449
64	104
65	257
66	241
67	320
68	247
69	247
70	275
71	266
72	188
73	294
74	225
75	276
76	258
77	279
78	227
79	329
80	174
81	262
82	260
83	313
84	231
85	247
86	297
87	263
88	206
89	282
90	214
91	296
92	192
93	279
94	242
95	369
96	139
97	272
98	257
99	275
100	257
101	252
102	293
103	291
104	175
105	302
106	220
107	264
108	256
109	254
110	268
111	344
112	158
113	315
114	289
115	333
116	262
117	288
118	301
119	347
120	219
121	349
122	301
123	337
124	259
125	307
126	354
127	594
128	120
129	308
130	336
131	370
132	307
133	338
134	304
135	339
136	247
137	325
138	292
139	319
140	252
141	323
142	269
143	360
144	187
145	292
146	288
147	288
148	242
149	278
150	303
151	302
152	227
153	300
154	257
155	335
156	232
157	286
158	268
159	445
160	172
161	302
162	265
163	304
164	316
165	278
166	306
167	321
168	226
169	303
170	233
171	319
172	322
173	312
174	244
175	329
176	196
177	298
178	280
179	322
180	294
181	280
182	284
183	360
184	210
185	325
186	276
187	360
188	250
189	298
190	294
191	449
192	158
193	326
194	364
195	355
196	365
197	351
198	388
199	434
200	328
201	461
202	407
203	510
204	549
205	544
206	597
207	729
208	417
209	706
210	669
211	839
212	716
213	745
214	910
215	882
216	725
217	966
218	830
219	1015
220	820
221	834
222	823
223	1190
224	438
225	699
226	651
227	626
228	597
229	505
230	569
231	541
232	335
233	471
234	414
235	439
236	455
237	469
238	452
239	514
240	294
241	466
242	443
243	555
244	451
245	435
246	567
247	487
248	405
249	526
250	417
251	551
252	433
253	489
254	458
255	765
256	138
257	349
258	369
259	439
260	363
261	353
262	400
263	347
264	227
265	368
266	298
267	312
268	224
269	336
270	271
271	343
272	183
273	289
274	291
275	309
276	242
277	245
278	296
279	321
280	208
281	320
282	235
283	352
284	247
285	303
286	247
287	415
288	184
289	243
290	283
291	275
292	282
293	253
294	291
295	311
296	203
297	319
298	244
299	317
300	263
301	323
302	247
303	328
304	203
305	286
306	279
307	329
308	258
309	243
310	315
311	306
312	200
313	299
314	229
315	325
316	271
317	302
318	287
319	466
320	105
321	268
322	287
323	279
324	292
325	300
326	320
327	340
328	224
329	303
330	262
331	283
332	303
333	311
334	275
335	341
336	190
337	290
338	278
339	354
340	271
341	268
342	301
343	301
344	246
345	344
346	291
347	335
348	256
349	295
350	252
351	400
352	199
353	263
354	290
355	300
356	291
357	282
358	334
359	330
360	242
361	341
362	237
363	304
364	320
365	293
366	278
367	366
368	198
369	303
370	286
371	312
372	283
373	230
374	304
375	322
376	222
377	312
378	262
379	340
380	266
381	346
382	270
383	487
384	139
385	267
386	305
387	302
388	284
389	264
390	313
391	283
392	257
393	326
394	248
395	302
396	300
397	286
398	299
399	354
400	239
401	278
402	289
403	335
404	260
405	285
406	310
407	327
408	249
409	323
410	258
411	341
412	299
413	334
414	273
415	450
416	185
417	297
418	274
419	310
420	275
421	258
422	305
423	310
424	208
425	325
426	244
427	319
428	337
429	312
430	286
431	331
432	258
433	317
434	291
435	326
436	299
437	269
438	347
439	332
440	210
441	308
442	245
443	358
444	337
445	321
446	299
447	442
448	166
449	316
450	282
451	328
452	323
453	287
454	340
455	295
456	295
457	357
458	309
459	328
460	365
461	364
462	355
463	375
464	225
465	338
466	341
467	381
468	357
469	270
470	418
471	373
472	335
473	372
474	340
475	400
476	335
477	337
478	360
479	525
480	249
481	334
482	400
483	375
484	415
485	353
486	420
487	366
488	323
489	441
490	341
491	401
492	412
493	387
494	404
495	400
496	268
497	370
498	392
499	437
500	385
501	327
502	428
503	396
504	294
505	414
506	325
507	366
508	344
509	394
510	335
511	739
512	135
513	342
514	382
515	403
516	357
517	333
518	402
519	360
520	255
521	399
522	313
523	405
524	317
525	375
526	337
527	407
528	240
529	380
530	343
531	402
532	303
533	321
534	364
535	341
536	249
537	399
538	280
539	422
540	324
541	362
542	311
543	530
544	201
545	355
546	346
547	395
548	323
549	301
550	359
551	388
552	257
553	359
554	297
555	380
556	307
557	368
558	339
559	390
560	282
561	338
562	302
563	383
564	314
565	325
566	372
567	409
568	238
569	387
570	287
571	412
572	296
573	321
574	368
575	533
576	189
577	319
578	348
579	373
580	348
581	307
582	379
583	331
584	266
585	392
586	291
587	359
588	378
589	341
590	357
591	418
592	241
593	397
594	351
595	372
596	314
597	309
598	367
599	336
600	281
601	393
602	301
603	402
604	322
605	351
606	323
607	527
608	247
609	357
610	351
611	369
612	375
613	307
614	366
615	367
616	250
617	413
618	290
619	372
620	344
621	338
622	336
623	384
624	245
625	381
626	335
627	412
628	328
629	308
630	377
631	336
632	247
633	366
634	301
635	416
636	305
637	395
638	313
639	584
640	137
641	308
642	295
643	386
644	334
645	290
646	334
647	333
648	300
649	378
650	295
651	336
652	318
653	370
654	356
655	344
656	272
657	346
658	355
659	377
660	310
661	311
662	357
663	340
664	318
665	419
666	339
667	404
668	301
669	324
670	349
671	429
672	186
673	332
674	331
675	330
676	353
677	296
678	374
679	349
680	243
681	396
682	292
683	354
684	345
685	332
686	329
687	331
688	282
689	334
690	360
691	381
692	300
693	306
694	359
695	327
696	251
697	358
698	265
699	366
700	298
701	342
702	302
703	463
704	217
705	326
706	320
707	336
708	359
709	305
710	361
711	269
712	303
713	386
714	301
715	314
716	361
717	340
718	328
719	338
720	241
721	327
722	345
723	398
724	313
725	268
726	351
727	277
728	299
729	387
730	292
731	362
732	293
733	332
734	328
735	475
736	238
737	325
738	354
739	299
740	368
741	290
742	318
743	352
744	283
745	360
746	301
747	331
748	371
749	293
750	346
751	373
752	246
753	323
754	319
755	312
756	310
757	275
758	391
759	357
760	251
761	365
762	275
763	341
764	316
765	308
766	327
767	478
768	150
769	327
770	328
771	340
772	338
773	285
774	365
775	330
776	297
777	372
778	264
779	351
780	361
781	335
782	305
783	337
784	232
785	309
786	288
787	365
788	317
789	284
790	353
791	299
792	284
793	376
794	299
795	383
796	285
797	337
798	304
799	455
800	260
801	319
802	317
803	340
804	328
805	296
806	348
807	346
808	284
809	354
810	276
811	358
812	345
813	356
814	331
815	322
816	265
817	345
818	272
819	359
820	350
821	302
822	339
823	334
824	242
825	356
826	291
827	346
828	325
829	340
830	320
831	495
832	182
833	339
834	331
835	346
836	339
837	297
838	352
839	306
840	274
841	332
842	268
843	356
844	312
845	331
846	343
847	372
848	257
849	306
850	344
851	375
852	292
853	309
854	378
855	291
856	298
857	346
858	256
859	317
860	274
861	320
862	299
863	384
864	225
865	273
866	337
867	305
868	334
869	255
870	358
871	301
872	253
873	302
874	279
875	276
876	315
877	285
878	312
879	340
880	223
881	289
882	295
883	341
884	302
885	246
886	328
887	296
888	211
889	297
890	248
891	275
892	254
893	248
894	233
895	395
896	122
897	231
898	251
899	277
900	303
901	186
902	295
903	237
904	253
905	295
906	223
907	229
908	249
909	228
910	249
911	211
912	224
913	197
914	220
915	251
916	209
917	199
918	235
919	208
920	208
921	232
922	179
923	223
924	194
925	187
926	203
927	250
928	152
929	208
930	197
931	203
932	209
933	174
934	248
935	190
936	150
937	199
938	171
939	208
940	201
941	198
942	176
943	199
944	149
945	196
946	190
947	192
948	192
949	143
950	190
951	173
952	134
953	201
954	152
955	189
956	180
957	174
958	173
959	251
960	111
961	174
962	173
963	191
964	178
965	142
966	189
967	139
968	157
969	176
970	137
971	132
972	181
973	175
974	152
975	183
976	126
977	141
978	159
979	174
980	161
981	140
982	177
983	128
984	166
985	184
986	135
987	176
988	157
989	149
990	168
991	208
992	109
993	147
994	179
995	161
996	176
997	119
998	188
999	155
1000	132
1001	163
1002	145
1003	156
1004	169
1005	155
1006	145
1007	147
1008	122
1009	166
1010	163
1011	173
1012	148
1013	122
1014	187
1015	125
1016	133
1017	167
1018	134
1019	144
1020	148
1021	151
1022	143
1023	214
1024	50
1025	127
1026	97
1027	140
1028	144
1029	119
1030	154
1031	145
1032	121
1033	174
1034	111
1035	167
1036	128
1037	120
1038	128
1039	162
1040	81
1041	131
1042	129
1043	166
1044	125
1045	140
1046	140
1047	153
1048	123
1049	160
1050	113
1051	158
1052	113
1053	122
1054	109
1055	198
1056	84
1057	154
1058	140
1059	120
1060	123
1061	107
1062	144
1063	155
1064	90
1065	163
1066	98
1067	128
1068	119
1069	104
1070	99
1071	132
1072	90
1073	135
1074	117
1075	141
1076	112
1077	120
1078	134
1079	136
1080	78
1081	130
1082	97
1083	162
1084	99
1085	138
1086	123
1087	186
1088	55
1089	131
1090	117
1091	109
1092	105
1093	105
1094	134
1095	120
1096	105
1097	143
1098	92
1099	107
1100	121
1101	123
1102	111
1103	142
1104	57
1105	110
1106	116
1107	122
1108	99
1109	110
1110	112
1111	109
1112	89
1113	111
1114	98
1115	147
1116	110
1117	117
1118	118
1119	160
1120	63
1121	94
1122	103
1123	134
1124	101
1125	114
1126	114
1127	126
1128	73
1129	114
1130	105
1131	106
1132	111
1133	108
1134	110
1135	106
1136	66
1137	110
1138	110
1139	117
1140	81
1141	77
1142	118
1143	115
1144	80
1145	112
1146	79
1147	131
1148	101
1149	86
1150	102
1151	160
1152	53
1153	71
1154	101
1155	89
1156	117
1157	91
1158	121
1159	85
1160	86
1161	122
1162	85
1163	96
1164	104
1165	101
1166	105
1167	94
1168	72
1169	94
1170	97
1171	113
1172	78
1173	80
1174	101
1175	93
1176	71
1177	105
1178	83
1179	100
1180	81
1181	100
1182	98
1183	141
1184	46
1185	81
1186	101
1187	129
1188	84
1189	82
1190	101
1191	115
1192	60
1193	115
1194	88
1195	105
1196	100
1197	85
1198	83
1199	96
1200	87
1201	79
1202	84
1203	109
1204	89
1205	75
1206	104
1207	101
1208	65
1209	103
1210	88
1211	112
1212	90
1213	84
1214	76
1215	113
1216	59
1217	93
1218	98
1219	93
1220	95
1221	86
1222	99
1223	81
1224	79
1225	99
1226	66
1227	80
1228	98
1229	91
1230	86
1231	86
1232	50
1233	81
1234	94
1235	124
1236	74
1237	87
1238	93
1239	89
1240	90
1241	99
1242	77
1243	93
1244	79
1245	81
1246	99
1247	125
1248	56
1249	82
1250	97
1251	95
1252	101
1253	95
1254	104
1255	91
1256	66
1257	102
1258	80
1259	113
1260	101
1261	108
1262	101
1263	110
1264	56
1265	118
1266	111
1267	116
1268	111
1269	82
1270	136
1271	131
1272	94
1273	122
1274	106
1275	149
1276	110
1277	135
1278	141
1279	259
1280	60
1281	123
1282	139
1283	171
1284	180
1285	163
1286	207
1287	169
1288	182
1289	246
1290	185
1291	242
1292	232
1293	239
1294	238
1295	293
1296	221
1297	306
1298	257
1299	371
1300	302
1301	314
1302	378
1303	356
1304	316
1305	460
1306	324
1307	504
1308	376
1309	443
1310	422
1311	660
1312	335
1313	546
1314	543
1315	531
1316	577
1317	495
1318	674
1319	663
1320	456
1321	761
1322	549
1323	683
1324	727
1325	738
1326	741
1327	727
1328	661
1329	848
1330	845
1331	1060
1332	814
1333	726
1334	1024
1335	1028
1336	702
1337	1112
1338	840
1339	1232
1340	985
1341	1072
1342	1062
1343	1733
1344	657
1345	1149
1346	1188
1347	1258
1348	1402
1349	1097
1350	1390
1351	1157
1352	1193
1353	1547
1354	1114
1355	1388
1356	1574
1357	1454
1358	1353
1359	1593
1360	1025
1361	1532
1362	1427
1363	1782
1364	1410
1365	1278
1366	1746
1367	1444
1368	1394
1369	1798
1370	1336
1371	1857
1372	1496
1373	1539
1374	1618
1375	2035
1376	1338
1377	1625
1378	1658
1379	1676
1380	1829
1381	1459
1382	1906
1383	1624
1384	1252
1385	1812
1386	1381
1387	1599
1388	1805
1389	1589
1390	1572
1391	1667
1392	1096
1393	1574
1394	1581
1395	1680
1396	1474
1397	1239
1398	1727
1399	1418
1400	1101
1401	1530
1402	1161
1403	1617
1404	1276
1405	1296
1406	1214
1407	1832
1408	861
1409	1175
1410	1233
1411	1196
1412	1220
1413	959
1414	1261
1415	1000
1416	986
1417	1177
1418	861
1419	962
1420	1029
1421	935
1422	866
1423	813
1424	744
1425	819
1426	847
1427	842
1428	699
1429	633
1430	806
1431	575
1432	595
1433	740
1434	532
1435	681
1436	545
1437	574
1438	522
1439	671
1440	332
1441	406
1442	435
1443	440
1444	455
1445	294
1446	444
1447	378
1448	259
1449	380
1450	267
1451	305
1452	318
1453	303
1454	250
1455	246
1456	200
1457	237
1458	203
1459	248
1460	208
1461	178
1462	213
1463	184
1464	136
1465	175
1466	134
1467	183
1468	146
1469	138
1470	139
1471	161
1472	95
1473	92
1474	104
1475	89
1476	96
1477	72
1478	117
1479	60
1480	109
1481	82
1482	80
1483	84
1484	95
1485	71
1486	94
1487	67
1488	51
1489	73
1490	68
1491	59
1492	74
1493	65
1494	76
1495	38
1496	60
1497	68
1498	65
1499	62
1500	45
1501	53
1502	55
1503	67
1504	40
1505	50
1506	61
1507	42
1508	50
1509	44
1510	67
1511	49
1512	53
1513	61
1514	49
1515	64
1516	61
1517	57
1518	41
1519	47
1520	39
1521	57
1522	54
1523	60
1524	51
1525	32
1526	52
1527	54
1528	40
1529	58
1530	41
1531	44
1532	58
1533	50
1534	50
1535	80
1536	26
1537	44
1538	49
1539	47
1540	58
1541	42
1542	58
1543	48
1544	48
1545	66
1546	35
1547	61
1548	45
1549	50
1550	47
1551	61
1552	42
1553	41
1554	49
1555	59
1556	42
1557	41
1558	60
1559	46
1560	30
1561	59
1562	47
1563	61
1564	47
1565	43
1566	50
1567	62
1568	40
1569	49
1570	47
1571	50
1572	47
1573	32
1574	56
1575	46
1576	32
1577	63
1578	43
1579	61
1580	58
1581	46
1582	57
1583	57
1584	42
1585	56
1586	58
1587	56
1588	44
1589	41
1590	51
1591	49
1592	26
1593	55
1594	38
1595	59
1596	28
1597	50
1598	47
1599	39
1600	34
1601	50
1602	46
1603	43
1604	58
1605	44
1606	42
1607	45
1608	39
1609	69
1610	42
1611	54
1612	56
1613	50
1614	47
1615	45
1616	25
1617	71
1618	46
1619	54
1620	39
1621	39
1622	54
1623	39
1624	52
1625	58
1626	40
1627	47
1628	41
1629	44
1630	48
1631	46
1632	43
1633	41
1634	49
1635	56
1636	44
1637	36
1638	52
1639	55
1640	34
1641	57
1642	35
1643	55
1644	43
1645	41
1646	57
1647	45
1648	29
1649	51
1650	36
1651	62
1652	48
1653	50
1654	48
1655	52
1656	39
1657	66
1658	49
1659	55
1660	51
1661	47
1662	48
1663	84
1664	31
1665	40
1666	43
1667	62
1668	66
1669	32
1670	57
1671	35
1672	40
1673	46
1674	39
1675	54
1676	62
1677	41
1678	42
1679	47
1680	36
1681	40
1682	67
1683	59
1684	40
1685	38
1686	56
1687	45
1688	42
1689	48
1690	44
1691	57
1692	50
1693	60
1694	43
1695	57
1696	39
1697	42
1698	56
1699	43
1700	52
1701	33
1702	56
1703	53
1704	32
1705	44
1706	44
1707	42
1708	62
1709	50
1710	42
1711	45
1712	39
1713	48
1714	50
1715	45
1716	53
1717	58
1718	59
1719	50
1720	43
1721	54
1722	39
1723	55
1724	45
1725	42
1726	62
1727	46
1728	45
1729	53
1730	47
1731	43
1732	54
1733	39
1734	50
1735	31
1736	56
1737	58
1738	35
1739	43
1740	39
1741	52
1742	50
1743	47
1744	45
1745	63
1746	41
1747	51
1748	41
1749	47
1750	49
1751	30
1752	34
1753	45
1754	30
1755	57
1756	54
1757	48
1758	49
1759	52
1760	40
1761	31
1762	52
1763	41
1764	63
1765	40
1766	64
1767	32
1768	35
1769	52
1770	32
1771	41
1772	69
1773	39
1774	42
1775	48
1776	37
1777	53
1778	39
1779	43
1780	47
1781	40
1782	50
1783	51
1784	42
1785	48
1786	38
1787	53
1788	36
1789	42
1790	53
1791	56
1792	30
1793	41
1794	42
1795	38
1796	46
1797	38
1798	54
1799	45
1800	34
1801	67
1802	42
1803	30
1804	65
1805	45
1806	43
1807	41
1808	40
1809	56
1810	38
1811	55
1812	49
1813	31
1814	56
1815	37
1816	54
1817	44
1818	28
1819	57
1820	45
1821	49
1822	43
1823	45
1824	32
1825	47
1826	50
1827	41
1828	55
1829	44
1830	54
1831	38
1832	41
1833	57
1834	40
1835	46
1836	51
1837	44
1838	47
1839	42
1840	54
1841	43
1842	43
1843	49
1844	41
1845	35
1846	40
1847	40
1848	38
1849	57
1850	35
1851	51
1852	47
1853	53
1854	34
1855	56
1856	28
1857	35
1858	42
1859	51
1860	53
1861	33
1862	51
1863	32
1864	54
1865	43
1866	39
1867	23
1868	60
1869	53
1870	51
1871	38
1872	40
1873	41
1874	58
1875	39
1876	45
1877	24
1878	54
1879	39
1880	60
1881	41
1882	43
1883	43
1884	59
1885	44
1886	53
1887	43
1888	49
1889	37
1890	41
1891	58
1892	50
1893	39
1894	57
1895	40
1896	32
1897	54
1898	42
1899	50
1900	58
1901	51
1902	57
1903	31
1904	33
1905	47
1906	50
1907	54
1908	44
1909	36
1910	52
1911	34
1912	46
1913	45
1914	38
1915	50
1916	44
1917	41
1918	55
1919	37
1920	34
1921	46
1922	47
1923	47
1924	52
1925	40
1926	53
1927	32
1928	44
1929	47
1930	37
1931	27
1932	53
1933	40
1934	38
1935	38
1936	40
1937	42
1938	32
1939	40
1940	47
1941	45
1942	49
1943	33
1944	46
1945	49
1946	32
1947	48
1948	46
1949	47
1950	45
1951	39
1952	41
1953	43
1954	39
1955	46
1956	55
1957	33
1958	51
1959	44
1960	50
1961	51
1962	20
1963	30
1964	61
1965	36
1966	52
1967	43
1968	44
1969	50
1970	46
1971	52
1972	52
1973	48
1974	61
1975	44
1976	44
1977	63
1978	33
1979	55
1980	46
1981	42
1982	49
1983	52
1984	49
1985	56
1986	53
1987	41
1988	70
1989	43
1990	49
1991	21
1992	47
1993	69
1994	44
1995	55
1996	65
1997	57
1998	41
1999	30
2000	39
2001	35
2002	49
2003	47
2004	52
2005	39
2006	60
2007	31
2008	44
2009	45
2010	46
2011	64
2012	61
2013	53
2014	37
2015	46
2016	59
