Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	700
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	889.2
Elapsed Live Time:	872.07
Start Time:	octubre 06, 2020, 01:24:31
End Time:	octubre 06, 2020, 01:39:20
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		2
1		0
2		2
3		3
4		3
5		64
6		51
7		2029
8		3273
9		3254
10		3491
11		3464
12		3459
13		3536
14		3644
15		3535
16		3638
17		3566
18		3425
19		3332
20		3342
21		3112
22		3200
23		3263
24		3129
25		3275
26		3233
27		3218
28		3428
29		3462
30		3556
31		3648
32		3819
33		3856
34		3962
35		3970
36		4154
37		4272
38		4540
39		4537
40		4718
41		4915
42		4948
43		4974
44		5089
45		5190
46		5101
47		4992
48		5014
49		4893
50		4734
51		4679
52		4533
53		4459
54		4198
55		4044
56		4081
57		3913
58		3892
59		3658
60		3711
61		3571
62		3578
63		3627
64		3650
65		3521
66		3522
67		3586
68		3602
69		3594
70		3583
71		3483
72		3588
73		3589
74		3611
75		3555
76		3714
77		3742
78		3688
79		3638
80		3637
81		3721
82		3855
83		3811
84		3872
85		3872
86		3839
87		4062
88		3997
89		4056
90		4046
91		4218
92		4224
93		4373
94		4344
95		4317
96		4371
97		4422
98		4660
99		4849
100		4652
101		4863
102		4966
103		4981
104		5057
105		5090
106		5172
107		5216
108		5236
109		5348
110		5251
111		5230
112		5408
113		5447
114		5357
115		5232
116		5234
117		5398
118		5246
119		5235
120		5073
121		5092
122		4825
123		5007
124		4994
125		4955
126		4880
127		4840
128		4861
129		4643
130		4773
131		4573
132		4577
133		4617
134		4476
135		4452
136		4504
137		4481
138		4536
139		4557
140		4330
141		4325
142		4269
143		4239
144		4310
145		4313
146		4221
147		4183
148		4242
149		4115
150		4001
151		3985
152		4044
153		4058
154		4026
155		4002
156		3836
157		3985
158		3895
159		3872
160		3887
161		3822
162		3616
163		3744
164		3773
165		3809
166		3715
167		3650
168		3561
169		3733
170		3600
171		3639
172		3585
173		3530
174		3629
175		3610
176		3432
177		3511
178		3515
179		3443
180		3433
181		3353
182		3430
183		3359
184		3340
185		3245
186		3173
187		3324
188		3222
189		3243
190		3090
191		3137
192		3197
193		3059
194		3023
195		2988
196		2884
197		2884
198		2889
199		2677
200		2804
201		2719
202		2682
203		2607
204		2575
205		2420
206		2440
207		2275
208		2261
209		2300
210		2191
211		2137
212		2049
213		2059
214		2010
215		2030
216		1890
217		1847
218		1737
219		1859
220		1670
221		1737
222		1640
223		1543
224		1563
225		1565
226		1433
227		1493
228		1464
229		1416
230		1421
231		1351
232		1393
233		1274
234		1264
235		1272
236		1214
237		1265
238		1205
239		1251
240		1251
241		1292
242		1208
243		1256
244		1151
245		1193
246		1242
247		1160
248		1188
249		1240
250		1268
251		1208
252		1301
253		1198
254		1279
255		1292
256		1345
257		1312
258		1343
259		1408
260		1469
261		1482
262		1529
263		1536
264		1593
265		1665
266		1796
267		1796
268		1793
269		1972
270		2089
271		2217
272		2185
273		2433
274		2382
275		2630
276		2757
277		2874
278		2951
279		3059
280		3237
281		3481
282		3616
283		3810
284		3877
285		4031
286		4386
287		4474
288		4681
289		4922
290		5268
291		5375
292		5591
293		5735
294		6063
295		6182
296		6414
297		6558
298		6715
299		7010
300		7214
301		7346
302		7532
303		7699
304		7779
305		8028
306		8058
307		8299
308		8193
309		8199
310		8398
311		8172
312		8225
313		8519
314		8180
315		8305
316		8157
317		8243
318		8029
319		7903
320		7817
321		7805
322		7577
323		7521
324		7250
325		7087
326		6866
327		6614
328		6405
329		6201
330		5937
331		5742
332		5601
333		5282
334		5077
335		4736
336		4667
337		4333
338		4059
339		4035
340		3759
341		3516
342		3297
343		3205
344		2891
345		2753
346		2644
347		2417
348		2248
349		2124
350		1983
351		1765
352		1682
353		1605
354		1473
355		1342
356		1296
357		1228
358		1098
359		1048
360		1014
361		925
362		860
363		829
364		774
365		785
366		719
367		690
368		657
369		662
370		681
371		628
372		594
373		537
374		566
375		551
376		553
377		559
378		550
379		534
380		521
381		533
382		523
383		478
384		496
385		523
386		497
387		501
388		485
389		480
390		503
391		497
392		487
393		486
394		510
395		515
396		495
397		495
398		503
399		512
400		508
401		496
402		492
403		489
404		532
405		480
406		514
407		498
408		481
409		501
410		515
411		519
412		509
413		523
414		504
415		439
416		532
417		522
418		514
419		514
420		490
421		526
422		485
423		503
424		540
425		520
426		487
427		512
428		484
429		480
430		530
431		514
432		522
433		501
434		519
435		518
436		528
437		496
438		499
439		520
440		526
441		489
442		539
443		485
444		489
445		542
446		508
447		523
448		511
449		492
450		531
451		534
452		524
453		526
454		511
455		557
456		544
457		493
458		560
459		528
460		517
461		528
462		565
463		558
464		533
465		526
466		540
467		505
468		553
469		543
470		506
471		538
472		526
473		532
474		596
475		519
476		545
477		549
478		512
479		499
480		554
481		514
482		514
483		518
484		564
485		545
486		559
487		577
488		522
489		582
490		539
491		559
492		498
493		565
494		551
495		598
496		521
497		527
498		528
499		529
500		605
501		589
502		565
503		561
504		570
505		602
506		572
507		552
508		556
509		560
510		507
511		557
512		532
513		531
514		545
515		577
516		519
517		584
518		615
519		575
520		515
521		549
522		532
523		504
524		557
525		506
526		562
527		584
528		571
529		555
530		551
531		550
532		556
533		605
534		571
535		566
536		552
537		610
538		561
539		567
540		557
541		550
542		559
543		608
544		557
545		560
546		559
547		606
548		554
549		568
550		598
551		546
552		558
553		602
554		549
555		573
556		574
557		588
558		552
559		553
560		592
561		572
562		573
563		579
564		595
565		603
566		578
567		600
568		540
569		622
570		581
571		566
572		556
573		530
574		555
575		556
576		587
577		569
578		538
579		567
580		549
581		564
582		550
583		584
584		536
585		545
586		565
587		548
588		507
589		518
590		530
591		525
592		593
593		566
594		563
595		546
596		508
597		545
598		561
599		539
600		516
601		514
602		524
603		515
604		528
605		548
606		471
607		507
608		476
609		528
610		495
611		508
612		491
613		504
614		459
615		416
616		470
617		416
618		440
619		368
620		405
621		403
622		400
623		400
624		405
625		383
626		394
627		358
628		366
629		375
630		367
631		351
632		354
633		380
634		376
635		381
636		319
637		356
638		368
639		345
640		311
641		329
642		331
643		302
644		296
645		294
646		274
647		267
648		265
649		286
650		275
651		270
652		267
653		284
654		246
655		240
656		271
657		293
658		262
659		285
660		251
661		267
662		251
663		252
664		236
665		244
666		308
667		261
668		267
669		271
670		272
671		289
672		289
673		248
674		266
675		288
676		260
677		267
678		294
679		300
680		318
681		296
682		313
683		317
684		316
685		344
686		301
687		342
688		337
689		342
690		361
691		350
692		351
693		402
694		435
695		407
696		408
697		395
698		396
699		429
700		446
701		438
702		435
703		480
704		489
705		516
706		505
707		507
708		567
709		552
710		529
711		559
712		516
713		597
714		632
715		611
716		602
717		616
718		589
719		651
720		646
721		651
722		666
723		678
724		659
725		720
726		796
727		757
728		732
729		708
730		754
731		771
732		784
733		776
734		823
735		819
736		778
737		825
738		840
739		836
740		804
741		858
742		796
743		803
744		843
745		816
746		815
747		867
748		822
749		818
750		839
751		792
752		859
753		798
754		762
755		846
756		805
757		766
758		838
759		795
760		788
761		794
762		775
763		741
764		733
765		726
766		646
767		694
768		671
769		660
770		683
771		637
772		622
773		640
774		584
775		592
776		590
777		582
778		539
779		511
780		558
781		531
782		488
783		463
784		464
785		440
786		472
787		423
788		392
789		379
790		358
791		363
792		304
793		361
794		349
795		310
796		304
797		259
798		270
799		251
800		258
801		247
802		200
803		225
804		209
805		219
806		184
807		184
808		170
809		183
810		182
811		154
812		141
813		140
814		134
815		123
816		130
817		110
818		120
819		96
820		92
821		101
822		92
823		75
824		64
825		76
826		80
827		66
828		56
829		68
830		62
831		74
832		62
833		53
834		51
835		38
836		58
837		51
838		47
839		48
840		49
841		41
842		38
843		51
844		29
845		32
846		26
847		59
848		52
849		46
850		40
851		47
852		37
853		33
854		29
855		35
856		28
857		36
858		32
859		31
860		28
861		23
862		30
863		35
864		27
865		30
866		31
867		26
868		33
869		28
870		26
871		32
872		24
873		25
874		24
875		22
876		27
877		27
878		29
879		29
880		27
881		21
882		21
883		24
884		31
885		23
886		14
887		38
888		30
889		20
890		18
891		30
892		21
893		16
894		14
895		10
896		22
897		32
898		24
899		18
900		26
901		16
902		10
903		26
904		23
905		18
906		20
907		20
908		20
909		24
910		20
911		19
912		22
913		19
914		23
915		19
916		25
917		13
918		22
919		13
920		21
921		17
922		21
923		15
924		20
925		18
926		16
927		16
928		13
929		20
930		16
931		13
932		13
933		14
934		15
935		14
936		13
937		12
938		13
939		20
940		9
941		22
942		13
943		18
944		9
945		12
946		4
947		14
948		12
949		10
950		9
951		9
952		14
953		8
954		24
955		15
956		6
957		16
958		15
959		15
960		12
961		9
962		14
963		8
964		15
965		10
966		15
967		7
968		8
969		16
970		12
971		14
972		9
973		14
974		8
975		14
976		8
977		9
978		12
979		18
980		10
981		19
982		9
983		11
984		10
985		15
986		16
987		9
988		11
989		3
990		13
991		15
992		14
993		9
994		11
995		15
996		16
997		8
998		20
999		16
1000		12
1001		9
1002		11
1003		11
1004		13
1005		17
1006		19
1007		15
1008		15
1009		15
1010		13
1011		15
1012		14
1013		13
1014		16
1015		12
1016		19
1017		16
1018		12
1019		18
1020		20
1021		12
1022		16
1023		16
