Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	1
54	1
55	1
56	1
57	0
58	0
59	0
60	2
61	3
62	13
63	17
64	13
65	16
66	16
67	25
68	16
69	24
70	24
71	16
72	27
73	25
74	19
75	22
76	17
77	35
78	25
79	29
80	12
81	18
82	23
83	29
84	26
85	24
86	27
87	31
88	23
89	40
90	39
91	28
92	36
93	36
94	22
95	42
96	32
97	41
98	34
99	37
100	41
101	33
102	48
103	45
104	34
105	56
106	55
107	55
108	49
109	39
110	44
111	52
112	42
113	67
114	55
115	63
116	62
117	34
118	49
119	51
120	41
121	40
122	35
123	52
124	45
125	31
126	44
127	62
128	39
129	37
130	53
131	35
132	34
133	40
134	54
135	33
136	33
137	42
138	37
139	47
140	41
141	36
142	42
143	42
144	37
145	40
146	39
147	33
148	41
149	32
150	32
151	31
152	23
153	37
154	34
155	44
156	36
157	29
158	27
159	43
160	28
161	35
162	43
163	32
164	38
165	31
166	33
167	44
168	35
169	37
170	48
171	30
172	32
173	53
174	29
175	29
176	35
177	36
178	43
179	36
180	38
181	29
182	33
183	29
184	33
185	25
186	24
187	46
188	38
189	34
190	29
191	36
192	27
193	35
194	28
195	44
196	32
197	29
198	39
199	38
200	29
201	41
202	31
203	38
204	32
205	33
206	32
207	39
208	31
209	31
210	32
211	30
212	30
213	30
214	39
215	34
216	25
217	33
218	26
219	33
220	25
221	35
222	29
223	42
224	29
225	40
226	32
227	24
228	41
229	26
230	36
231	37
232	31
233	34
234	26
235	37
236	39
237	43
238	34
239	29
240	28
241	25
242	25
243	34
244	31
245	31
246	37
247	28
248	30
249	34
250	27
251	29
252	29
253	24
254	28
255	51
256	11
257	27
258	33
259	32
260	33
261	22
262	22
263	22
264	29
265	29
266	22
267	32
268	22
269	18
270	17
271	26
272	20
273	19
274	29
275	23
276	23
277	34
278	16
279	29
280	26
281	29
282	23
283	30
284	16
285	22
286	28
287	27
288	13
289	19
290	16
291	29
292	32
293	18
294	24
295	24
296	23
297	26
298	20
299	23
300	27
301	13
302	28
303	30
304	19
305	22
306	17
307	17
308	23
309	19
310	24
311	23
312	20
313	17
314	26
315	17
316	33
317	23
318	17
319	24
320	14
321	19
322	27
323	21
324	23
325	21
326	11
327	21
328	17
329	19
330	22
331	18
332	22
333	26
334	17
335	27
336	16
337	21
338	17
339	20
340	20
341	16
342	14
343	10
344	16
345	22
346	15
347	23
348	15
349	16
350	20
351	18
352	14
353	17
354	18
355	19
356	19
357	16
358	27
359	17
360	26
361	21
362	13
363	16
364	23
365	18
366	14
367	18
368	11
369	19
370	17
371	12
372	19
373	10
374	16
375	17
376	9
377	11
378	19
379	22
380	17
381	13
382	21
383	18
384	16
385	13
386	18
387	16
388	13
389	17
390	19
391	21
392	14
393	20
394	19
395	13
396	22
397	15
398	18
399	12
400	7
401	21
402	13
403	22
404	23
405	9
406	13
407	14
408	16
409	13
410	16
411	15
412	10
413	15
414	11
415	16
416	11
417	17
418	22
419	23
420	18
421	11
422	17
423	12
424	8
425	12
426	15
427	10
428	20
429	12
430	20
431	14
432	17
433	18
434	17
435	17
436	16
437	22
438	11
439	15
440	13
441	14
442	9
443	12
444	11
445	14
446	13
447	23
448	10
449	9
450	11
451	13
452	9
453	6
454	13
455	9
456	11
457	9
458	7
459	18
460	8
461	10
462	16
463	6
464	6
465	8
466	10
467	12
468	12
469	12
470	14
471	12
472	10
473	13
474	11
475	17
476	8
477	4
478	13
479	16
480	13
481	15
482	20
483	8
484	16
485	8
486	10
487	8
488	8
489	9
490	12
491	8
492	6
493	8
494	12
495	7
496	8
497	11
498	12
499	11
500	2
501	19
502	10
503	11
504	6
505	8
506	10
507	13
508	6
509	9
510	17
511	14
512	8
513	9
514	8
515	4
516	11
517	4
518	6
519	9
520	14
521	12
522	9
523	11
524	8
525	6
526	8
527	13
528	7
529	10
530	11
531	3
532	8
533	13
534	8
535	6
536	9
537	7
538	10
539	12
540	5
541	7
542	4
543	11
544	7
545	16
546	10
547	7
548	7
549	8
550	6
551	6
552	6
553	9
554	12
555	8
556	8
557	4
558	5
559	10
560	6
561	10
562	7
563	4
564	8
565	8
566	6
567	8
568	8
569	5
570	4
571	5
572	9
573	14
574	13
575	3
576	5
577	4
578	10
579	5
580	14
581	7
582	7
583	6
584	7
585	10
586	9
587	5
588	7
589	14
590	10
591	6
592	3
593	5
594	3
595	9
596	3
597	8
598	2
599	9
600	5
601	6
602	5
603	8
604	9
605	7
606	6
607	9
608	5
609	4
610	8
611	4
612	7
613	8
614	7
615	5
616	3
617	6
618	11
619	8
620	7
621	9
622	6
623	9
624	7
625	4
626	6
627	7
628	12
629	5
630	13
631	4
632	11
633	8
634	6
635	10
636	4
637	8
638	6
639	5
640	2
641	3
642	6
643	7
644	11
645	6
646	4
647	6
648	5
649	9
650	8
651	5
652	4
653	10
654	5
655	5
656	3
657	6
658	5
659	4
660	3
661	4
662	5
663	2
664	4
665	8
666	5
667	10
668	5
669	4
670	9
671	8
672	4
673	7
674	2
675	9
676	4
677	4
678	1
679	3
680	3
681	10
682	9
683	4
684	2
685	5
686	4
687	0
688	4
689	4
690	4
691	4
692	4
693	5
694	6
695	4
696	5
697	9
698	5
699	6
700	7
701	2
702	2
703	0
704	4
705	2
706	2
707	4
708	4
709	6
710	6
711	2
712	3
713	0
714	10
715	2
716	8
717	5
718	3
719	3
720	5
721	7
722	2
723	5
724	6
725	2
726	3
727	3
728	3
729	8
730	4
731	9
732	2
733	4
734	2
735	2
736	1
737	5
738	2
739	1
740	5
741	1
742	10
743	6
744	1
745	7
746	3
747	5
748	1
749	6
750	5
751	7
752	4
753	5
754	6
755	4
756	2
757	1
758	5
759	3
760	3
761	8
762	1
763	4
764	6
765	2
766	3
767	6
768	2
769	2
770	3
771	3
772	3
773	4
774	6
775	2
776	3
777	2
778	1
779	4
780	5
781	9
782	7
783	3
784	0
785	4
786	3
787	3
788	6
789	4
790	4
791	3
792	6
793	7
794	4
795	3
796	2
797	3
798	2
799	6
800	6
801	3
802	3
803	5
804	6
805	6
806	3
807	6
808	4
809	4
810	10
811	2
812	8
813	3
814	8
815	4
816	3
817	2
818	1
819	3
820	2
821	3
822	7
823	5
824	5
825	5
826	3
827	1
828	6
829	4
830	4
831	8
832	1
833	2
834	9
835	5
836	9
837	3
838	3
839	3
840	2
841	1
842	4
843	1
844	3
845	4
846	7
847	3
848	1
849	4
850	4
851	1
852	2
853	6
854	1
855	3
856	7
857	4
858	4
859	6
860	1
861	3
862	3
863	4
864	4
865	5
866	4
867	2
868	6
869	1
870	4
871	3
872	4
873	6
874	6
875	0
876	9
877	5
878	0
879	2
880	5
881	3
882	5
883	3
884	4
885	2
886	5
887	3
888	3
889	2
890	3
891	3
892	10
893	2
894	6
895	8
896	5
897	1
898	5
899	3
900	1
901	2
902	5
903	2
904	5
905	3
906	3
907	2
908	4
909	8
910	5
911	5
912	7
913	4
914	3
915	6
916	1
917	1
918	5
919	3
920	5
921	3
922	3
923	4
924	4
925	3
926	6
927	3
928	5
929	1
930	1
931	6
932	4
933	1
934	4
935	2
936	6
937	3
938	4
939	5
940	3
941	1
942	2
943	4
944	7
945	3
946	4
947	7
948	0
949	2
950	7
951	3
952	3
953	7
954	6
955	5
956	4
957	10
958	6
959	1
960	1
961	0
962	2
963	4
964	5
965	6
966	4
967	2
968	3
969	3
970	3
971	3
972	6
973	3
974	1
975	4
976	2
977	2
978	3
979	6
980	1
981	4
982	4
983	3
984	2
985	0
986	2
987	4
988	3
989	4
990	1
991	0
992	3
993	4
994	2
995	6
996	2
997	4
998	1
999	1
1000	3
1001	4
1002	1
1003	1
1004	1
1005	3
1006	1
1007	1
1008	0
1009	2
1010	6
1011	4
1012	2
1013	4
1014	6
1015	2
1016	5
1017	1
1018	4
1019	2
1020	0
1021	3
1022	2
1023	3
1024	1
1025	1
1026	5
1027	2
1028	1
1029	0
1030	3
1031	3
1032	2
1033	2
1034	5
1035	5
1036	1
1037	3
1038	4
1039	2
1040	2
1041	5
1042	5
1043	2
1044	3
1045	2
1046	6
1047	2
1048	1
1049	3
1050	2
1051	2
1052	3
1053	2
1054	5
1055	5
1056	1
1057	1
1058	1
1059	2
1060	6
1061	3
1062	3
1063	5
1064	1
1065	4
1066	5
1067	1
1068	5
1069	6
1070	2
1071	3
1072	5
1073	5
1074	2
1075	4
1076	1
1077	0
1078	3
1079	3
1080	3
1081	2
1082	4
1083	3
1084	1
1085	3
1086	1
1087	3
1088	4
1089	7
1090	4
1091	2
1092	4
1093	3
1094	2
1095	4
1096	4
1097	4
1098	4
1099	3
1100	2
1101	3
1102	3
1103	3
1104	3
1105	2
1106	7
1107	3
1108	1
1109	1
1110	5
1111	3
1112	0
1113	2
1114	7
1115	3
1116	5
1117	3
1118	4
1119	4
1120	2
1121	1
1122	6
1123	2
1124	3
1125	1
1126	3
1127	3
1128	1
1129	1
1130	2
1131	4
1132	7
1133	4
1134	2
1135	2
1136	3
1137	3
1138	2
1139	4
1140	1
1141	2
1142	3
1143	2
1144	0
1145	3
1146	1
1147	2
1148	4
1149	2
1150	2
1151	3
1152	3
1153	1
1154	2
1155	6
1156	1
1157	3
1158	7
1159	1
1160	0
1161	0
1162	2
1163	3
1164	5
1165	3
1166	5
1167	3
1168	4
1169	6
1170	0
1171	2
1172	1
1173	1
1174	1
1175	2
1176	3
1177	4
1178	4
1179	3
1180	0
1181	1
1182	4
1183	2
1184	0
1185	2
1186	4
1187	2
1188	3
1189	2
1190	1
1191	2
1192	0
1193	0
1194	3
1195	3
1196	3
1197	2
1198	1
1199	4
1200	1
1201	1
1202	2
1203	1
1204	1
1205	2
1206	8
1207	0
1208	6
1209	0
1210	2
1211	0
1212	2
1213	3
1214	2
1215	2
1216	1
1217	0
1218	1
1219	0
1220	2
1221	3
1222	2
1223	1
1224	4
1225	1
1226	1
1227	5
1228	0
1229	2
1230	2
1231	3
1232	2
1233	1
1234	2
1235	2
1236	1
1237	3
1238	1
1239	1
1240	1
1241	4
1242	2
1243	3
1244	1
1245	4
1246	1
1247	3
1248	0
1249	1
1250	1
1251	3
1252	1
1253	2
1254	1
1255	3
1256	1
1257	3
1258	1
1259	2
1260	4
1261	1
1262	1
1263	3
1264	2
1265	0
1266	2
1267	2
1268	1
1269	3
1270	1
1271	3
1272	1
1273	0
1274	4
1275	2
1276	2
1277	0
1278	1
1279	1
1280	2
1281	2
1282	1
1283	0
1284	3
1285	0
1286	1
1287	0
1288	1
1289	0
1290	2
1291	1
1292	6
1293	3
1294	0
1295	3
1296	2
1297	0
1298	1
1299	0
1300	0
1301	3
1302	3
1303	1
1304	1
1305	0
1306	0
1307	1
1308	4
1309	4
1310	2
1311	1
1312	3
1313	0
1314	3
1315	3
1316	4
1317	4
1318	3
1319	2
1320	2
1321	1
1322	3
1323	0
1324	1
1325	0
1326	3
1327	0
1328	3
1329	0
1330	1
1331	2
1332	1
1333	0
1334	2
1335	4
1336	1
1337	2
1338	1
1339	1
1340	3
1341	3
1342	0
1343	1
1344	0
1345	2
1346	2
1347	2
1348	2
1349	1
1350	2
1351	1
1352	5
1353	0
1354	5
1355	3
1356	0
1357	3
1358	3
1359	1
1360	0
1361	2
1362	0
1363	2
1364	2
1365	1
1366	2
1367	2
1368	1
1369	2
1370	1
1371	1
1372	1
1373	3
1374	4
1375	1
1376	2
1377	3
1378	2
1379	0
1380	1
1381	2
1382	1
1383	2
1384	1
1385	0
1386	5
1387	0
1388	2
1389	0
1390	1
1391	1
1392	3
1393	3
1394	1
1395	0
1396	0
1397	4
1398	3
1399	0
1400	3
1401	1
1402	2
1403	4
1404	1
1405	7
1406	4
1407	2
1408	0
1409	0
1410	0
1411	1
1412	1
1413	1
1414	2
1415	1
1416	0
1417	3
1418	3
1419	1
1420	0
1421	2
1422	2
1423	1
1424	0
1425	2
1426	1
1427	2
1428	1
1429	1
1430	5
1431	3
1432	2
1433	2
1434	1
1435	1
1436	1
1437	2
1438	1
1439	3
1440	3
1441	0
1442	1
1443	2
1444	0
1445	0
1446	1
1447	3
1448	1
1449	3
1450	1
1451	2
1452	0
1453	0
1454	0
1455	0
1456	4
1457	2
1458	0
1459	0
1460	2
1461	2
1462	3
1463	1
1464	0
1465	1
1466	1
1467	2
1468	1
1469	3
1470	0
1471	2
1472	1
1473	4
1474	1
1475	2
1476	1
1477	3
1478	1
1479	0
1480	0
1481	7
1482	1
1483	1
1484	2
1485	0
1486	1
1487	1
1488	1
1489	2
1490	1
1491	1
1492	1
1493	0
1494	2
1495	0
1496	3
1497	1
1498	4
1499	0
1500	1
1501	2
1502	0
1503	5
1504	4
1505	2
1506	2
1507	0
1508	2
1509	0
1510	2
1511	1
1512	1
1513	6
1514	1
1515	2
1516	2
1517	0
1518	2
1519	2
1520	0
1521	1
1522	3
1523	0
1524	1
1525	0
1526	1
1527	2
1528	2
1529	1
1530	1
1531	1
1532	1
1533	1
1534	1
1535	4
1536	1
1537	0
1538	0
1539	0
1540	2
1541	3
1542	1
1543	2
1544	0
1545	2
1546	2
1547	0
1548	2
1549	0
1550	2
1551	0
1552	2
1553	0
1554	0
1555	2
1556	1
1557	1
1558	0
1559	1
1560	2
1561	2
1562	3
1563	0
1564	1
1565	3
1566	0
1567	4
1568	3
1569	2
1570	1
1571	0
1572	1
1573	2
1574	0
1575	0
1576	2
1577	2
1578	0
1579	2
1580	1
1581	0
1582	3
1583	1
1584	0
1585	1
1586	3
1587	2
1588	2
1589	2
1590	1
1591	1
1592	2
1593	3
1594	0
1595	1
1596	1
1597	2
1598	0
1599	5
1600	3
1601	4
1602	4
1603	4
1604	0
1605	1
1606	1
1607	0
1608	1
1609	0
1610	1
1611	0
1612	1
1613	2
1614	2
1615	2
1616	2
1617	1
1618	3
1619	0
1620	1
1621	3
1622	0
1623	1
1624	1
1625	0
1626	1
1627	2
1628	1
1629	0
1630	0
1631	0
1632	1
1633	1
1634	0
1635	2
1636	2
1637	0
1638	3
1639	1
1640	0
1641	1
1642	4
1643	3
1644	1
1645	0
1646	3
1647	2
1648	1
1649	0
1650	3
1651	0
1652	3
1653	0
1654	2
1655	0
1656	0
1657	4
1658	2
1659	0
1660	0
1661	1
1662	0
1663	2
1664	0
1665	1
1666	1
1667	2
1668	5
1669	3
1670	1
1671	1
1672	4
1673	2
1674	1
1675	1
1676	1
1677	2
1678	4
1679	0
1680	4
1681	0
1682	3
1683	2
1684	1
1685	2
1686	0
1687	1
1688	0
1689	2
1690	2
1691	0
1692	1
1693	1
1694	1
1695	3
1696	1
1697	0
1698	0
1699	3
1700	5
1701	1
1702	0
1703	0
1704	1
1705	0
1706	1
1707	0
1708	0
1709	3
1710	2
1711	3
1712	2
1713	1
1714	1
1715	2
1716	4
1717	0
1718	0
1719	1
1720	2
1721	1
1722	1
1723	1
1724	0
1725	1
1726	2
1727	0
1728	2
1729	0
1730	2
1731	1
1732	0
1733	0
1734	1
1735	3
1736	0
1737	1
1738	1
1739	1
1740	1
1741	2
1742	1
1743	0
1744	0
1745	0
1746	1
1747	1
1748	2
1749	0
1750	0
1751	1
1752	1
1753	3
1754	1
1755	1
1756	3
1757	5
1758	2
1759	2
1760	0
1761	3
1762	3
1763	0
1764	1
1765	4
1766	2
1767	0
1768	0
1769	2
1770	2
1771	3
1772	3
1773	0
1774	1
1775	1
1776	1
1777	2
1778	2
1779	3
1780	0
1781	1
1782	1
1783	0
1784	1
1785	2
1786	0
1787	2
1788	1
1789	0
1790	1
1791	4
1792	1
1793	1
1794	3
1795	2
1796	2
1797	2
1798	1
1799	2
1800	0
1801	1
1802	0
1803	1
1804	1
1805	2
1806	1
1807	1
1808	0
1809	1
1810	2
1811	1
1812	0
1813	1
1814	0
1815	1
1816	1
1817	1
1818	0
1819	4
1820	1
1821	0
1822	2
1823	1
1824	0
1825	1
1826	2
1827	0
1828	1
1829	2
1830	1
1831	0
1832	3
1833	2
1834	0
1835	1
1836	4
1837	2
1838	3
1839	0
1840	1
1841	2
1842	1
1843	4
1844	4
1845	0
1846	3
1847	2
1848	2
1849	1
1850	2
1851	0
1852	0
1853	0
1854	2
1855	0
1856	0
1857	1
1858	2
1859	0
1860	2
1861	4
1862	1
1863	1
1864	2
1865	3
1866	3
1867	1
1868	1
1869	1
1870	0
1871	0
1872	0
1873	1
1874	0
1875	1
1876	1
1877	3
1878	0
1879	0
1880	0
1881	1
1882	0
1883	0
1884	0
1885	0
1886	0
1887	1
1888	0
1889	1
1890	1
1891	1
1892	0
1893	0
1894	1
1895	0
1896	1
1897	2
1898	0
1899	2
1900	2
1901	0
1902	2
1903	0
1904	1
1905	1
1906	0
1907	2
1908	1
1909	1
1910	2
1911	1
1912	1
1913	1
1914	1
1915	1
1916	0
1917	0
1918	1
1919	1
1920	1
1921	2
1922	0
1923	0
1924	1
1925	1
1926	2
1927	1
1928	0
1929	0
1930	0
1931	1
1932	1
1933	1
1934	0
1935	0
1936	1
1937	2
1938	2
1939	1
1940	2
1941	3
1942	1
1943	1
1944	0
1945	2
1946	0
1947	0
1948	3
1949	0
1950	1
1951	0
1952	2
1953	1
1954	1
1955	0
1956	1
1957	0
1958	2
1959	0
1960	1
1961	0
1962	2
1963	0
1964	0
1965	2
1966	2
1967	0
1968	2
1969	1
1970	2
1971	2
1972	2
1973	1
1974	2
1975	3
1976	2
1977	2
1978	0
1979	0
1980	1
1981	2
1982	1
1983	2
1984	1
1985	1
1986	1
1987	0
1988	3
1989	3
1990	1
1991	2
1992	2
1993	1
1994	1
1995	0
1996	0
1997	2
1998	0
1999	2
2000	2
2001	1
2002	3
2003	0
2004	1
2005	1
2006	2
2007	2
2008	0
2009	1
2010	0
2011	0
2012	1
2013	1
2014	2
2015	1
2016	1
2017	2
2018	1
2019	3
2020	0
2021	0
2022	1
2023	1
2024	2
2025	1
2026	0
2027	1
2028	1
2029	1
2030	0
2031	0
2032	0
