Número	Impulses
Cuentas/#	Impulses/#

1  	6933
2  	6018
3  	5467
4  	4787
5  	4324
6  	3637
7  	3195
8  	2891
9  	2522
10  	2225
11  	1900
12  	1636
13  	1473
14  	1272
15  	1161
16  	986
17  	911
18  	817
19  	686
20  	622
21  	543
22  	474
23  	407
24  	346
25  	267
26  	297
27  	231
28  	224
29  	180
30  	166
31  	130
32  	145
33  	142
34  	110
35  	96
36  	87
37  	80
38  	64
39  	59
40  	60
41  	52
42  	50
43  	42
44  	38
45  	40
46  	35
47  	33
48  	27
49  	32
50  	27
51  	27
52  	29
53  	24
54  	27
55  	28
56  	25
57  	19
58  	26
59  	35
60  	26
