Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	MCS Internal
High Voltage:	700
Conversion Gain:	256
Coarse Gain:	4
Fine Gain:	1.00
Upper Discriminator:	262
Lower Discriminator:	4
Calibration Coefficients:Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	octubre 08, 2020, 01:13:27
End Time:	octubre 08, 2020, 01:35:44
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		11781
1		11736
2		11353
3		10721
4		10433
5		10106
6		9670
7		9296
8		8964
9		8697
10		8463
11		8097
12		7666
13		7522
14		7252
15		6943
16		6905
17		6391
18		6256
19		6091
20		5744
21		5691
22		5512
23		5199
24		5056
25		5004
26		4676
27		4662
28		4400
29		4248
30		4143
31		3934
32		3860
33		3740
34		3592
35		3455
36		3267
37		3263
38		3180
39		3087
40		2831
41		2812
42		2626
43		2628
44		2533
45		2483
46		2366
47		2230
48		2268
49		2113
50		2028
51		1973
52		2017
53		1831
54		1824
55		1814
56		1691
57		1641
58		1569
59		1525
60		1480
61		1503
62		1361
63		1336
64		1314
65		1234
66		1188
67		1185
68		1176
69		1158
70		1093
71		1001
72		960
73		947
74		960
75		903
76		910
77		844
78		803
79		802
80		747
81		751
82		722
83		738
84		633
85		664
86		685
87		625
88		627
89		579
90		555
91		552
92		549
93		509
94		526
95		512
96		494
97		486
98		434
99		446
100		453
101		407
102		425
103		397
104		394
105		385
106		399
107		358
108		367
109		333
110		342
111		325
112		320
113		353
114		298
115		298
116		306
117		265
118		286
119		294
120		288
121		250
122		274
123		259
124		276
125		244
126		242
127		255
128		261
129		214
130		223
131		236
132		194
133		197
134		190
135		209
136		215
137		195
138		193
139		168
140		187
141		172
142		184
143		179
144		171
145		171
146		175
147		153
148		192
149		169
150		202
151		161
152		153
153		170
154		142
155		173
156		161
157		151
158		171
159		147
160		166
161		173
162		150
163		159
164		140
165		149
166		145
